na,candidate_name,party,votes,rank
NA-127,Attah Ullah Tarrar,PML-N,98214,1
NA-127,Malik Zaheer Abbas Khokhar,Independent,82282,2
NA-127,Bilawal Bhutto Zardari,PPP,15005,3
NA-127,Matloob Ahmad,TLP,12914,4
NA-127,Syed Ihsan Ullah Waqas,JIP,5296,5
NA-127,Muhammad Muzzamil,HKP,604,6
NA-127,Asma Zaheer Abbas,Independent,525,7
NA-127,Shabbir Ahmed,Independent,413,8
NA-127,Chaudhry Muhammad Atif,Independent,323,9
NA-127,Chaudhry Zahid Akram,PTI-N,323,10
NA-127,Waqif Tahmasb Kiyani,Independent,262,11
NA-127,Sami Ullah,Independent,250,12
NA-127,Khalid Naik,Independent,158,13
NA-127,Muhammad Mansha,Independent,94,14
NA-127,Javed Sharif,PTE,87,15
NA-127,Salman Amjad,Independent,66,16
NA-127,Muhammad Saleem Khan,PMP-N,59,17
NA-127,Ch. Zubair Ahmad Kassana,Independent,49,18
NA-127,Khalid Ahmad,Independent,48,19
NA-127,Jamil Asghar Bhatti,Independent,47,20
NA-127,Abdul Karim Rahi Kalwar,Independent,42,21
NA-127,Abdul Sammi Khan,Independent,35,22
NA-127,Muhammad Asif Jutt,Independent,30,23
NA-127,Shahid Siddique Khan,Independent,30,24
NA-127,Muhammad Saeed Ahmad,Independent,21,25
