na,candidate_name,party,votes,rank
NA-120,Sardar Ayaz Sadiq,PML-N,68037,1
NA-120,Usman Hamza,Independent,49309,2
NA-120,Rashid Ali,TLP,24166,3
NA-120,Munir Ahmad,PPP,8049,4
NA-120,Rasheed Ahmad,JIP,3743,5
NA-120,Umar Farooq,PMML,2140,6
NA-120,Hafiz Muhammad Akram,Independent,1202,7
NA-120,Shakeel Ahmad,Independent,635,8
NA-120,Ijaz Ahmad,Independent,367,9
NA-120,Sanam Javed Khan,Independent,331,10
NA-120,Qadeer Ahmad,Independent,214,11
NA-120,Zafar Ali Shah,Independent,182,12
NA-120,Humayun Shoukat Ali Butt,Independent,172,13
NA-120,Javed Anwar Awan,Independent,167,14
NA-120,Muhammad Rafiq,PTE,162,15
NA-120,Hafiz Mansab Awan,Independent,136,16
NA-120,Qadeer Hussain,PL,116,17
NA-120,Maqsood Ellahi,Independent,114,18
NA-120,Muhammad Ahmad Akmal,Independent,101,19
NA-120,Abdul Basit,Independent,97,20
NA-120,Muhammad Umer,Independent,92,21
NA-120,Azhar Nawaz,Independent,77,22
NA-120,Muhammad Nawaz Awan,Independent,72,23
NA-120,Muhammad Athar Amin,Independent,58,24
NA-120,Chaudhary Shafaqat Amin,Independent,46,25
