na,candidate_name,party,votes,rank
NA-173,Syed Mustafa Mehmood,PPP,83120,1
NA-173,Barrister Muhammad Nabeel Dahar,Independent,80304,2
NA-173,Uzair Tariq,PML-N,47298,3
NA-173,Allah Baksh,TLP,9625,4
NA-173,Zubair Tariq,Independent,2402,5
NA-173,Muhammad Arshad Khan Laghari,Independent,2242,6
NA-173,Raees Muhammad Hamza,Independent,1965,7
NA-173,Muhammad Zakriya,JUI-F,1939,8
NA-173,Bilal Ahmad,Independent,1787,9
NA-173,Tasnim Khursheed,JIP,1433,10
NA-173,Aamir Nazir,Independent,1171,11
NA-173,Rais Muhammad Mehboob Ahmad,Independent,1052,12
NA-173,Syed Zulfiqar Haider Shah,Independent,771,13
NA-173,Muhammad Safdar Khan Leghari,Independent,700,14
NA-173,Ruqaiya Bibi,PMML,543,15
NA-173,Maryam Batool,Independent,294,16
NA-173,Shakeel Ahmad,Independent,151,17
