na,candidate_name,party,votes,rank
NA-251,Maulana Syed Sami Ullah,JUI-F,46210,1
NA-251,Khushal Khan Kakar,PNAP,46117,2
NA-251,Nawab Muhammad Ayaz Khan Jogezai,PKMAP,24231,3
NA-251,Dawood Ullah,Independent,9824,4
NA-251,Toor Gul Khan Jogezai,PML-N,3886,5
NA-251,Abdul Malik,RJUI,2122,6
NA-251,Fareed Ahmad,Independent,1506,7
NA-251,Abdul Kabir,JIP,1352,8
NA-251,Muhammad Shafi,ANP,1301,9
NA-251,Ajab Khan,SKQM,978,10
NA-251,Muhammad Amin Khan Jogezai,Independent,953,11
NA-251,Abdul Ghafoor,Independent,813,12
NA-251,Abdul Razaq,Independent,378,13
NA-251,Muhammad Nasim,Independent,338,14
NA-251,Abdul Baqi,PPP,188,15
NA-251,Daulat Khan,Independent,159,16
NA-251,Malak Atta Muhammad Mardanzai,Independent,115,17
