na,candidate_name,party,votes,rank
NA-203,Pir Syed Fazal Ali Shah Jillani,PPP,128830,1
NA-203,Pir Syed Sadaruddin Shah Rashidi,GDA,98236,2
NA-203,Pir Sayed Ali Raza Shah Jillani,Independent,4571,3
NA-203,Abdul Rehman Shar,Independent,1274,4
NA-203,Jameel Ahmed Lund Baloch,Independent,622,5
NA-203,Khalid Hussain Sheikh,Independent,318,6
NA-203,Ameer Ali Rajpar,Independent,258,7
NA-203,Aziz Ahmed,Independent,181,8
NA-203,Sakeena,JIP,174,9
NA-203,Ismail Shah,Independent,93,10
NA-203,Sayed Ali Ahmad Shah Jillani,Independent,89,11
NA-203,Ghulam Abbas Jogi,Independent,58,12
NA-203,Faqir Ushaque Ali Hisbani,Independent,14,13
NA-203,Niaz Hussain Khaskheli,PMML,9,14
