na,candidate_name,party,votes,rank
NA-208,Syed Ghulam Mustafa Shah,PPP,127181,1
NA-208,Syed Zain Ul Abdin,GDA,59402,2
NA-208,Ghulam Mustafa Shah,Independent,6465,3
NA-208,Syed Ghulam Ali Shah,Independent,3717,4
NA-208,Gul Muhammad Rind,Independent,2580,5
NA-208,Aashiq Hussain,TLP,2420,6
NA-208,Muhammad Anwar Khan,JIP,1008,7
NA-208,Asadullah Unar,Independent,991,8
NA-208,Ghullam Ullah Mari,Independent,786,9
NA-208,Danish Anam,PMML,589,10
NA-208,Abdul Qayyum,Independent,575,11
NA-208,Najma,MQM,424,12
NA-208,Aneela,JUI-F,278,13
NA-208,Khan Muhammad Dahri,Independent,221,14
NA-208,Farooq Ahmed Chandio,Independent,183,15
NA-208,Ghulam Rasool Khan Unar,Independent,178,16
NA-208,Jaam Tabraiz,Independent,138,17
NA-208,Pervaiz Ahmad Chandio,Independent,47,18
NA-208,Syed Mehmood Ahmad Shah,Independent,39,19
