na,candidate_name,party,votes,rank
NA-152,Syed Abdul Qadir Gilani,PPP,97065,1
NA-152,Syed Jawaid Ali Shah,PML-N,71376,2
NA-152,Muhammad Imran Shaukat Khan,Independent,62166,3
NA-152,Syed Atta Ullah Shah,TLP,18428,4
NA-152,Zain Ali Shah,Independent,4233,5
NA-152,Rana Ejaz Ahmad Noon,Independent,4196,6
NA-152,Abdul Waheed Akhtar,JIP,2052,7
NA-152,Irfan Shaukat Khan,Independent,1300,8
NA-152,Muhammad Amir Ghani,Independent,794,9
NA-152,Rana Talal Ahmad Noon,Independent,689,10
NA-152,Muhammad Arshad Bhatti,PMML,657,11
NA-152,Rana Mehmood Ul Hassan,Independent,652,12
NA-152,Rana Shahid Mehmood,Independent,308,13
NA-152,Muhammad Huzaifa Ghani,Independent,272,14
NA-152,Ashiq Ali,JUP-N,213,15
NA-152,Syed Ghulam Shabbir Shah,PTI-N,179,16
