na,candidate_name,party,votes,rank
NA-178,Amir Talal Gopang,PML-N,114678,1
NA-178,Abdul Qayyom Khan Jatoi,Independent,88404,2
NA-178,Muhammad Shafi Khan,TLP,9992,3
NA-178,Syed Javed Saeed Kazmi,Independent,6950,4
NA-178,Yassir Arafat Khan,Independent,1519,5
NA-178,Abdul Rahman,JIP,1098,6
NA-178,Sardar Ashiq Hussain Goppang,Independent,819,7
NA-178,Muhammad Dawood Khan Jatoi,Independent,806,8
NA-178,Syed Basit Ahmad Sultan Bukhari,Independent,452,9
NA-178,Ghous Bakhsh Fareedi,JUP-N,408,10
