na,candidate_name,party,votes,rank
NA-174,Muhammad Azhar Khan Leghari,PML-N,78680,1
NA-174,Syed Usman Mehmood,PPP,71559,2
NA-174,Rais Muhammad Mehboob Ahmad,Independent,67358,3
NA-174,Nadeem Abbas Cheema,Independent,16802,4
NA-174,Allah Baksh,TLP,8173,5
NA-174,Saeed Ahmad,JIP,3045,6
NA-174,Muhammad Ahmad Khan,Independent,2831,7
NA-174,Muhammad Arshad Khan Laghari,Independent,2049,8
NA-174,Chudhary Muhammad Shafique Anwar,Independent,1130,9
NA-174,Syed Muhammad Hussain,Independent,1113,10
NA-174,Asma Ilyas,Independent,717,11
NA-174,Rais Muhammad Hamza,Independent,658,12
NA-174,Rais Nabeel Ahmad,Independent,518,13
NA-174,Rais Munir Ahmad,Independent,489,14
