na,candidate_name,party,votes,rank
NA-137,Syed Raza Ali Gillani,Independent,132067,1
NA-137,Rao Muhammad Ajmal Khan,PML-N,105470,2
NA-137,Muhammad Anwar,TLP,17378,3
NA-137,Muhammad Yasin,PPP,5846,4
NA-137,Rao Muhammad Safdar Khan,Independent,4253,5
NA-137,Muhammad Awais Anwar,Independent,3646,6
NA-137,Syed Muhammad Ali Gillani,Independent,2931,7
NA-137,Muhammad Jabbir,JIP,1713,8
NA-137,Rao Muhammad Azfar,Independent,1282,9
NA-137,Abdul Aziz Aziz,PMML,1141,10
NA-137,Syed Tanseer Haider Kirmani,Independent,861,11
NA-137,Syed Muratab Ali Kirmani,Independent,735,12
NA-137,Muhammad Atique Khan,Independent,470,13
NA-137,Syed Ali Hassnain Shah Naqvi,Independent,440,14
NA-137,Syed Sajjad Hasan,Independent,434,15
NA-137,Syed Afzaal Ali Gillani,Independent,379,16
NA-137,Syed Gulzar Husnain,Independent,369,17
NA-137,Farzand Naseem,Independent,368,18
NA-137,Muhammad Rafi,PAT,230,19
NA-137,Rao Saad Ajmal,Independent,216,20
NA-137,Syed Ali Abbas Gillani,Independent,209,21
NA-137,Kamran Kirmani,Independent,184,22
NA-137,Chaudhry Tariq Irshad Khan,Independent,162,23
NA-137,Syed Abbas Raza Rizvi,Independent,151,24
NA-137,Azeem Sarwar,Independent,104,25
NA-137,Malik Yawar Farid Khan,Independent,95,26
NA-137,Sardar Shehryar Mokal,Independent,88,27
NA-137,Mian Khurram Jahangir Watto,Independent,87,28
NA-137,Bilal Umar Bodla,Independent,83,29
NA-137,Malik Shamshad Hussain,Independent,62,30
NA-137,Jahan Ara Wattoo,Independent,51,31
NA-137,Tahir Irshad,Independent,47,32
NA-137,Muhammad Shakir Raza Rizvi,Independent,38,33
NA-137,Adeel Ali Khan,Independent,35,34
