na,candidate_name,party,votes,rank
NA-76,Chaudhary Ahsan Iqbal,PML-N,137042,1
NA-76,Javaid Safdar khalon,Independent,110278,2
NA-76,Syed Jehanzaib Bukhari,TLP,33724,3
NA-76,Muhammad Irfan Ashraf,PMML,5838,4
NA-76,Sakhawat Masih,PPP,3876,5
NA-76,Dr. Altaf Ahmed Khan,JIP,2219,6
NA-76,Rashid Mahmood Khan,Independent,1775,7
NA-76,Muhammad Nadeem Nisar Chaudhary,Independent,1716,8
NA-76,Qari Muhammad Akbar Tabani,JUI-F,1109,9
NA-76,Badar Ahsan Chaudhry,Independent,581,10
NA-76,Rizwan Ahmed Khan,Independent,537,11
NA-76,Rana Lal Badshah,Independent,486,12
NA-76,Faiza Rafique,NP,401,13
NA-76,Akbar Khan Sherwani,Independent,306,14
NA-76,Riffat Javaid,Independent,304,15
NA-76,Chaudhry Tariq Mahmood Ashraf,Independent,195,16
NA-76,Itesham Khizar Virk,Independent,181,17
NA-76,Khizar Ilyas Virk,Independent,153,18
NA-76,Muhammad Tayyab Mir,Independent,141,19
NA-76,Rana Sufyan Mahmood,Independent,95,20
