na,candidate_name,party,votes,rank
NA-238,Sadiq Iftikhar,MQM-P,54885,1
NA-238,Haleem Adil Shaikh,Independent,36885,2
NA-238,Saif Uddin,JIP,36281,3
NA-238,Muhammad Waseem,TLP,10594,4
NA-238,Pir Umar Uddin Zafar,PPP,10464,5
NA-238,Shoaib Akhtar,Independent,4267,6
NA-238,Syed Arshad Hasan,Independent,3984,7
NA-238,Sidra Tul Muntaha,PML-N,3604,8
NA-238,Nawab Saleem Khan,Independent,3413,9
NA-238,Ali Ahmad Palh,Independent,930,10
NA-238,Jalal Uddin Bachlani,Independent,800,11
NA-238,Nadeem Sabir,Independent,286,12
NA-238,Syed Marghoob Hussain Abidi,Independent,236,13
NA-238,Mahmood Baki Maulvi,IPP,191,14
NA-238,Tabassum Abdul Qadir,Independent,178,15
NA-238,Aziz Ur Rahman,ANP,175,16
NA-238,Rehan Uddin,Independent,168,17
NA-238,Muhammad Ayub Awan,Independent,158,18
NA-238,Kausar Fatima Zaidi,GDA,129,19
NA-238,Muhammad Shahid,MQM-H,103,20
NA-238,Muhammad Imran,Independent,95,21
NA-238,Muhammad Ehtisham,Independent,60,22
NA-238,Muhammad Ashraf,Independent,49,23
NA-238,Mushtaq Ahmad,Independent,37,24
NA-238,Sehar Yahya,Independent,33,25
