na,candidate_name,party,votes,rank
NA-245,Syed Hafeez Uddin,MQM-P,57356,1
NA-245,Atta Ullah,Independent,36788,2
NA-245,Muhammad Ishaq Khan,JIP,15700,3
NA-245,Siddque Akbar,PPP,12526,4
NA-245,Amin Ullah,JUI-F,9676,5
NA-245,Wazir Ahmad Norani,TLP,8854,6
NA-245,Syed Majed Ullah,Independent,5639,7
NA-245,Muhammad Idrees,Independent,4618,8
NA-245,Khuda Nazar,PRP,1696,9
NA-245,Subhan Ali,Independent,1356,10
NA-245,Muhammad Ameer Hamza,Independent,1172,11
NA-245,Syed Rabab Haider,PMML,807,12
NA-245,Amir Nawab,ANP,733,13
NA-245,Eid Muhammad,SKQM,520,14
NA-245,Shah Zia Uddin Khan,TTP,400,15
NA-245,Fayyaz Kaim Khani,Independent,343,16
NA-245,Abdul Jalil Khan,Independent,276,17
NA-245,Imdad Ullah,Independent,192,18
NA-245,Muhammad Arif,Independent,148,19
NA-245,Noor Hussain,PAAM,105,20
NA-245,Parveen Usman,PNAP,81,21
NA-245,Shahbaz Khalid,Independent,63,22
NA-245,Waqar Ahmad,Independent,54,23
