na,candidate_name,party,votes,rank
NA-168,Malik Muhammad Iqbal Channar,PML-N,122302,1
NA-168,Samiullah Chaudhary,Independent,50360,2
NA-168,Hussain Ahmad Madni,PPP,9461,3
NA-168,Syed Muhammad Irfan Shah,TLP,7644,4
NA-168,Kamran Malik,JIP,6702,5
NA-168,Muhammad Safdar Shahbaz,JUI-F,3726,6
NA-168,Muhammad Saif Ullah Saif,PMML,1291,7
NA-168,Munawar Hayyat Abbasi,Independent,685,8
NA-168,Sumera Sami,Independent,633,9
NA-168,Chaudhary Tariq Bashir Cheema,PML-Q,359,10
NA-168,Muhammad Nabeel ur Rehman,Independent,323,11
NA-168,Jam Iqbal Haider,Independent,308,12
NA-168,Rabia Ateeq,Independent,304,13
NA-168,Muhammad Bilal Goheer,Independent,291,14
NA-168,Muhammad Bilal Balouch,Independent,265,15
NA-168,Khalid Mehmood Somra,Independent,258,16
NA-168,Asia Kamil,Independent,248,17
NA-168,Sahibzada Muhammad Omar Abbasi,Independent,200,18
NA-168,Alampir Mansha,Independent,184,19
NA-168,Muhammad Asad Shakir,Independent,161,20
NA-168,Syed Tabish Alvari,Independent,159,21
NA-168,Qayyum Azam Khan,Independent,155,22
NA-168,Saqib Tariq,Independent,126,23
NA-168,Abdul Qadir Khan Abbasi,Independent,106,24
