na,candidate_name,party,votes,rank
NA-119,Maryam Nawaz Sharif,PML-N,83856,1
NA-119,Shehzad Farooq,Independent,68384,2
NA-119,Muhammad Zaheer,TLP,30530,3
NA-119,Zulfiqar Ali,JIP,2435,4
NA-119,Hafiz Abdur Rauf,PMML,2081,5
NA-119,Iftikhar Shahid,PPP,2056,6
NA-119,Muhammad Ahmad Mughal,Independent,1669,7
NA-119,Chaudhry Ayyaz Imran,Independent,1500,8
NA-119,Nadeem Altaf Khan Sherwani,Independent,1099,9
NA-119,Sanam Javed Khan,Independent,708,10
NA-119,Imran Aslam,Independent,706,11
NA-119,Abdul Karim Khan,Independent,465,12
NA-119,Rizwan Ul Haq,Independent,437,13
NA-119,Rashid Ahmad Khan,JUI-F,398,14
NA-119,Chaudhry Muhammad Ilyas,Independent,208,15
NA-119,Muhammad Siddique Akbar,Independent,106,16
NA-119,Kiran Muhammad Ali,MQM,100,17
NA-119,Adnan Faisal,IJI,79,18
NA-119,Akmal Khan,Independent,56,19
NA-119,Ahsan Ikram,Independent,26,20
