na,candidate_name,party,votes,rank
NA-237,Asad Alam Niazi,PPP,40840,1
NA-237,Zahoor Ud Din,Independent,33322,2
NA-237,Irfan Ahmad,JIP,22257,3
NA-237,Muhammad Abdul Rauf Siddiqui,MQM-P,15412,4
NA-237,Muhammad Shahid,TLP,8826,5
NA-237,Rehan Qaisar Sheikh,PML-N,8188,6
NA-237,Syed Muhammad Danish,Independent,3007,7
NA-237,Ghulam Ali,Independent,2397,8
NA-237,Rameez H Loan,Independent,2115,9
NA-237,Muhammad Mohsin,Independent,1868,10
NA-237,Aamir Nawaz,Independent,1121,11
NA-237,Talha Ahmad Baig,Independent,953,12
NA-237,Babar Siraj Mirza,MQM-H,920,13
NA-237,Muhammad Shoaib,Independent,336,14
NA-237,S Muhammad Yousuf Ali Bhaati,PMML,307,15
NA-237,Ali Akbar,Independent,274,16
NA-237,Muhammad Mubeen Qadri,Independent,261,17
NA-237,Zunaira Rahman,IPP,215,18
NA-237,Ahsan Ullah,Independent,206,19
NA-237,Farhan Ghani,Independent,201,20
NA-237,Umbreen Malik,Independent,199,21
NA-237,Ahmad Zaman,ANP,196,22
NA-237,Jahangeer Khan,Independent,187,23
NA-237,Muhammad Saeed Shafiq,Independent,183,24
NA-237,Mir Raja Khan Jakhrani,Independent,163,25
NA-237,Muhammad Ahmed Shaikhani Haji,Independent,109,26
NA-237,Muazzam Ur Rahman,Independent,106,27
NA-237,Syed Akif Uddin,Independent,95,28
NA-237,Muhammad Zahid Bashir,PCP,95,29
NA-237,Syed Marghoob Hussain Abidi,Independent,89,30
NA-237,Najam Hameed,Independent,81,31
NA-237,Musarrat Nazeer Niazi,Independent,57,32
NA-237,Sheikh Khalid Sultan,Independent,41,33
NA-237,Liaquat Hussain Khan,Independent,35,34
NA-237,Niaz Muhammad Khan Mehmand,Independent,29,35
NA-237,Waleed Ahmad,Independent,24,36
