na,candidate_name,party,votes,rank
NA-129,Mian Muhammad Azhar,Independent,103739,1
NA-129,Hafiz Muhammad Numan,PML-N,71546,2
NA-129,Bilal Liaqat,TLP,19384,3
NA-129,Ahmad Jamil Rashid,JIP,4195,4
NA-129,Aurangzeb Shaafi Burki,PPP,3005,5
NA-129,Muhammad Haris,PMML,2608,6
NA-129,Muhammad Irshad Dogar,Independent,2192,7
NA-129,Bajjash Khan Niazi,Independent,1091,8
NA-129,Muhammad Faisal,Independent,534,9
NA-129,Muhammad Akram Dogar,Independent,447,10
NA-129,Shafqat Mehmood,Independent,255,11
NA-129,Muhammad Bilal,NPC,229,12
NA-129,Abdul Waheed,Independent,102,13
NA-129,Aziz Ul Islam,PTE,68,14
NA-129,Muhammad Arshid,Independent,64,15
NA-129,Muhammad Farooq Ul Hassan,Independent,55,16
NA-129,Muhammad Qasim,Independent,35,17
NA-129,Tayyaba Mubarak,PDQM,31,18
NA-129,Tallat Aslam,Independent,24,19
