na,candidate_name,party,votes,rank
NA-134,Rana Muhammad Hayat Khan,PML-N,142322,1
NA-134,Sidra Faisal,Independent,76887,2
NA-134,Sardar Ahmad Ayaz Nakai,Independent,47954,3
NA-134,Manzoor Elahi,TLP,22392,4
NA-134,Rubina Ansari,Independent,3730,5
NA-134,Muhammad Sufyan Muavia,JUI-F,3450,6
NA-134,Mudassir Zahoor,Independent,3238,7
NA-134,Syed Raza Abbas,PPP,3054,8
NA-134,Haji Muhammad Ramzan,JIP,1539,9
NA-134,Muhammad Arshad Saqi,Independent,1290,10
NA-134,Maqbool Bibi,PMML,701,11
NA-134,Syed Hassan Raza Kazami,Independent,463,12
NA-134,Imran Ashfaq,Independent,385,13
NA-134,Rana Khizer Hayat,Independent,382,14
NA-134,Abdul Jabbar Chaudhary,Independent,202,15
NA-134,Abdul Wahab,Independent,139,16
NA-134,Qasim Ishaq,Independent,132,17
NA-134,Sardar Muhammad Ayyan Nakai,Independent,120,18
NA-134,Junaid Saleem,Independent,109,19
NA-134,Muhammad Ali Babar,Independent,74,20
NA-134,Sardar Muhammad Atif Nakai,Independent,74,21
NA-134,Jahan Zaib Noor,Independent,49,22
NA-134,Sarwat Robina,Independent,38,23
