na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-23,Buner Shangla,,Abdul Mateen Khan,ANP,22662,Fanoos Gujjar,PAP,15204,,,
NA-24,Chitral,,Shahzada Mohi Ud Din,PML-N,24302,Major   (R) Ahmad Saeed Khan,PPP,12222,,,
NA-25,Dir,,Inayat Khan,PML-N,23328,Najam   ud Din,PPP,16370,,,
NA-26,Malakand,,Alhaj Muhammad Khan,PML-N,33477,Muhammad Humayun Khan,PPP,22413,,,
NA-27,Mohmand Agency Trial Area,,Baroz Khan,Independent,8725,Abdur Rehman,Independent,5628,,,
NA-28,Kurram Trial Area,,Zarin Khan Mengal,Independent,36275,Sayed Sajjad Hussain Mian,Independent,22384,,,
NA-29,Orakzai Trial Area,,Syed Munir Said,Independent,9714,Muhammad Azad Gul,Independent,8096,,,
NA-30,Trial Area,,Dindar,Independent,22721,Muhammad Ajmal Khan,Independent,13376,,,
NA-31,South Waziristan Trial Area,,Moulana Noor Muhammad,Independent,25604,Alam   Jan Mahsud,Independent,15466,,,
NA-32,Bajaur Trial Area,,Haji Lal Karim,Independent,14519,Mian   Shah Jahan,Independent,8009,,,
NA-33,Khyber Trial Area,,Abdul Latif Afridi,Independent,16075,Noor   Ul Haq Qadri,Independent,14745,,,
NA-34,FR FATA Trial Area,,Haji Malik Baz Gul Afridi,Independent,16670,Malik   Noor Sher,Independent,7057,,,
NA-35,Islamabad,,Syed Zafar Ali Shah,PML-N,64500,Syed   Nayyar Hussain Bukhari,PPP,29847,,,
NA-36,Rawalpindi,,Shahid Khaqan Abbasi,PML-N,65194,Zaheer   Ud Din Babar Awan Advocate,PML-J,21768,,,
NA-37,Rawalpindi,,Chaudhary Muhammad Khurshid Zaman,PML-N,75567,Raja   Parvaiz Ashraf,PPP,44511,,,
NA-38,Rawalpindi,,Sheikh Rasheed Ahmad,PML-N,72183,Naheed   Khan,PPP,24714,,,
NA-39,Rawalpindi,,Muhammad Ijaz Ul Haq,PML-N,87392,Raja   Shahid Zafar,PPP,31838,,,
NA-40,Rawalpindi,,Chaudhary Nisar Ali Khan,PML-N,79255,Sardar   Shoaib Mumtaz Khan,PPP,41008,,,
NA-41,Attock,,Sheikh Aftab Ahmad,PML-N,67275,Malik   Muhammad Aslam Khan,PPP,35204,,,
NA-42,Attock,,Malik Lal Khan,PML-N,83921,Malik   Atta Muhammad,PPP,60319,,,
NA-43,Chakwal,,Lt.   General (R) Abdul Majeed Malik,PML-N,84900,Raja   Munawar Ahmad,PPP,32293,,,
NA-44,Chakwal,,Sardar Mansoor Hayat Tumman,PML-N,85228,Fauzia   Behram,PML-J,45615,,,
NA-45,Jhelum,,Raja Muhammad Afzal Khan,PML-N,73212,Chaudhary Farrukh Altaf,PPP,32097,,,
NA-46,Jhelum,,Nawabzada Iqbal Mehdi Khan,PML-N,60237,Raja   Nasir Ali Khan,PPP,31346,,,
NA-47,Sargodha,,Adnan Hayyat Noon,PML-N,58284,Inam   Ul Haq Paracha,PPP,42192,,,
NA-48,Sargodha,,Chaudhary Ghias Ahmad Mela,PML-N,56948,Mian   Manazir Ali Ranjha,PPP,38573,,,
NA-49,Sargodha,,Chaudhary Abdul Hameed,PML-N,67824,Malik   Muhammad Aslam Kachila,PPP,37104,,,
NA-50,Sargodha,,Malik Umar Aslam,PML-N,79666,Tanveer Sultan Awan,Independnet,36617,,,
NA-51,Sargodha Khushab V,,Chaudhary Anwar Ali Cheema,,73825,Siraj Din Gujjar,,31527,,,
NA-52,Khushab,,Sardar Shuja Muhammad Khan,PML-N,68959,Malik   Ghulam Muhammad Tiwana,Independent,44805,,,
NA-53,Mianwali,,Muhammad Maqbool Ahmad Khan,PML-N,39147,Ubaid   Ullah Khan Shadi Khel,PML-Q,36201,,,
NA-54,Mianwali,,Inam Ullah Khan Niazi,PML-N,53861,Muhammad Humair Hayat Rokhari,Independent,29638,,,
NA-55,Bhakkar,,Muhammad Asghar Khan,Independent,59584,Muhammad Zafar Ullah Khan,PML-N,58382,,,
NA-56,Bhakkar,,Muhammad Zafar Ullah Khan Dhandla,PML-N,60419,Rasheed Akbar Khan Nawani,Independent,58462,,,
NA-57,Faisalabad,,Rana Zahid Tauseef,PML-N,72214,Syed   Muhammad Makhdoom,Independnet,19048,,,
NA-58,Faisalabad,,Rai   Salah Uddin Khan,PML-N,56668,Rai   Ejaz Hussain,PPP,30032,,,
NA-59,Faisalabad,,Mian Nasir Ali Khan,PML-N,46339,Zahoor   Ahmad Shah,PML-J,22469,,,
NA-60,Faisalabad,,Safdar ur Rehman,PML-N,69246,Chaudhary Muhamamd Abdullah Ghazi,PML-J,16850,,,
NA-61,Faisalabad,,Mian Muhammad Farooq,PML-N,69035,Ch.   Shahid Nazeer Ahmad,PPP,36801,,,
NA-62,Faisalabad,,Raja Nadir Parvaiz Khan,PML-N,56853,Ghulam   Mustafa Bajwa,PPP,22637,,,
NA-63,Faisalabad,,Haji Muhammad Akram Ansari,PML-N,62963,Riaz   Ahmad Ansari,PPP,29889,,,
NA-64,Faisalabad,,Chaudhary Sher Ali,PML-N,69782,Sheikh Muhammad Aslam   Guchha,PPP,25242,,,
NA-65,Faisalabad,,Mian Abdul Manan,PML-N,72840,Mehar   Abdur Rasheed,PPP,25652,,,
NA-66,Jhang,,Qaisar Ahmad Sheikh,PML-N,39272,Syed   Muhammad Raza Shah,PML-N,19446,,,
NA-67,Jhang,,Moulana Muhammad Rehmat Ullah,PML-N,52911,Makhdoomzada Syed Asad Hayyat,PPP,25165,,,
NA-68,Jhang,,Nawab Aman Ullah Khan Sial,PML-N,60490,Moulana Azam Tariq,MIP,44796,,,
NA-69,Jhang,,Syeda Abida Hussain,PML-N,68577,Makhdoom Syed Faisal Saleh Hayat,PPP,44211,,,
NA-70,Jhang,,Sahibzada Muhammad Tahir Sultan,PML-N,70662,Sahibzada Muhammad Nazir Sultan,PPP,33483,,,
NA-71,Toba Tek Singh,,Ch.   Asad Ur Rehman,PML-N,77777,Khalid   Ahmad Khan Kharal,PPP,32036,,,
NA-72,Toba Tek Singh,,Ch. Abdul Sattar S/O Mian Sultan Ali,PML-N,66886,Chaudhary Muhammad Ishfaq Ahmad,PPP,29701,,,
NA-73,Toba Tek Singh,,Hamza,PML-N,43931,Chaudhary Amjad Ali Waraich,Independent,39278,,,
NA-74,Gujranwala,,Ghulam Sarwar Cheema,PML-N,68236,Hamid   Nasir Chattha,PML-J,45823,,,
NA-75,Gujranwala,,Afzal Hussian Tarar,PML-N,63925,Ch.   Mehdi Hussain Bhatti,PPP,51870,,,
NA-76,Gujranwala,,Ghulam Dastgir Khan,PML-N,64108,Chaudhary Khalid Humayun,PPP,27044,,,
NA-77,Gujranwala,,Chaudhary Mahmood Bashir Virk,PML-N,64729,Khawja   Muhammad Aslam Lone,PPP,27751,,,
NA-78,Gujranwala,,Rana Nazir Ahmad Khan,PML-N,69009,Muhammad Abdullah Virk,PPP,21847,,,
NA-79,Gujranwala,,Chaudhary Ijaz Ahmad,PML-N,58756,Ch.   Liaqat Ali Waraich,Independent,26985,,,
NA-80,Gujrat,,Chaudhary Mubasher Hussain,PML-N,87144,Nawabzada Ghazanfar Ali Gul,PPP,50716,,,
NA-81,Gujrat,,Chaudhary Shujat   Hussain,PML-N,86903,Chaudhary Ahmad Mukhtar,PPP,41126,,,
NA-82,Gujrat,,Syed Manzoor Hussain   Shah,PML-N,88093,Haji Muhammad Asghar,PPP,44490,,,
NA-83,Mandi Bahauddin,,Mumtaz Ahmad Tarar,PML-N,64233,Zafar   Ullah Tarar,PPP,35104,,,
NA-84,Mandi Bahauddin,,Muhammad Iqbal Bosal,PML-N,56292,Nazar   Muhammad Gondal,PPP,30749,,,
NA-85,Sialkot,,Khawaja Muhammad Asif,PML-N,64394,Mian   Muhammad Naeem ur Rehman,PPP,16126,,,
NA-86,Sialkot,,Chaudhary Ameer Hussain,PML-N,72370,Ch.   Khush Akhtar Subhani,PML-J,37667,,,
NA-87,Sialkot,,Syed Iftikhar Ul Hassan Shah,PML-N,71321,Ejaz   Ahmad Cheema,PPP,33061,,,
NA-88,Sialkot,,Chaudhary Sikandar Hayat Malhi,PML-N,66203,Chaudhary Abdul Sattar,PML-J,32978,,,
NA-89,Narowal Sialkot,,Chaudhary Muhammad Sarwar Khan,PML-N,59340,Muhammad Akbar Kahlon,PPP,20413,,,
NA-90,Narowal,,Ahsan Iqbal,PML-N,59677,Chaudhary Akhtar Ali,PML-J,25387,,,
NA-91,Sialkot,,Daniyal Aziz,Independent,36940,Chaudhary Muhammad Rafiq,PML-N,30104,,,
NA-92,Lahore,,Mian Muhammad Azhar,PML-N,57220,Mian   Mehmood Ahmad,PML-J,11914,,,
NA-93,Lahore,,Mian Abdul Waheed,PML-N,63068,Salman   Taseer,PPP,27887,,,
NA-94,Lahore,,Tariq Aziz,PML-N,50227,Mian   Misbah Ur Rehman,PPP,17821,,,
NA-95,Lahore,,Mian Muhammad Nawaz Sharif,PML-N,50592,Hafiz   Ghulam Mohi uddin,PPP,9623,,,
NA-96,Lahore,,Mian Muhammad Shahbaz Sharif,PML-N,47614,Muhammad Hanif Ramay,PPP,10410,,,
NA-97,Lahore,,Muhammad ishaq Dar,PML-N,61556,Prof.   Ijaz Ul Hassan,PPP,16958,,,
NA-98,Lahore,,Mian Muhammad Munir,PML-N,55606,Mian   Aziz Ur Rehman Chan,PPP,13802,,,
NA-99,Lahore,,Sardar Kamil Umar,PML-N,50387,Malik   Shah Muhammad Mohsin,PPP,16901,,,
NA-100,Lahore,,Chaudhary Muhammad Aasiq Diyal,Independent,28589,Shaukat Ali,PML-N,28089,,,
NA-101,Sheikhupura,,Rana Tanveer Hussain,PML-N,66902,Nissar   Ahmad Puno,PPP,26192,,,
NA-102,Sheikhupura,,Mahmood Akbar Khan,PML-N,67003,Haji   Munawar Hussain Manj,PPP,33603,,,
NA-103,Sheikhupura,,Chaudhary Barjees Tahir,PML-N,52199,Rai   Ejaz Ahmad Khan,PPP,22705,,,
NA-104,Sheikhupura,,Ch.   Naeem Hussain Chatta,PML-N,72038,Chaudhary Tawakkal Ullah Virk,PPP,28296,,,
NA-105,Sheikhupura,,Rai   Mansab Ali Khan,PML-N,44049,Mehar   Saeed Ahmad Zafar,Independent,24952,,,
NA-106,Kasur,,Mian Khurshid Mehmood Kasuri,PML-N,62215,Sardar   Aasef Ahmad Ali,PML-J,27429,,,
NA-107,Kasur,,Chaudhary Muhammad Hanif Khan,PML-N,50927,Mazhar   Hayyat,PML-J,22854,,,
NA-108,Kasur,,Rana Muhammad Hayat Khan,PML-N,66990,Sardar   Talib Hussain Nakai,PML-J,32160,,,
NA-109,Kasur,,Moulana Moeen Uddin Lakhvi,PML-N,59977,Sardar   Muhammad Arif Nakai,PML-J,22652,,,
NA-110,Okara,,Mian Muhammad Zaman,PML-N,53567,Rao   Sikandar Iqbal,PPP,34365,,,
NA-111,Okara,,Syed Sajjad Haidar,PML-N,49023,Shafqat Abbas Rabhera,PPP,39416,,,
NA-112,Okara,,Rao   Qaisar Ali Khan,PML-N,47697,Mian   Manzoor Ahmad Watto,PML-J,26449,,,
NA-113,Okara,,Mian Muhammad Yasin Watto,PML-N,48960,Mian   Manzoor Ahmad Watto,PML-J,46403,,,
NA-114,Multan,,Haji Sikandar Hayat Bosan,PML-N,67320,Syed   Yousif Raza Gillani,PPP,44603,,,
NA-115,Multan,,Haji Muhammad Boota,PML-N,56331,Malik   Salah Uddin Dogar,PPP,24366,,,
NA-116,Multan,,Sheikh Muhammad Tahir Rasheed,PML-N,47322,Syed   Tanveer Ul Hassan Gillani,PPP,30874,,,
NA-117,Lodhran,,Ghulam Qasim Khan,PML-N,72957,Rana Mumtaz Ahmad Khan Noon,PPP,47501,,,
NA-118,Multan,,Muhammad Siddique Khan Kanjo,PML-N,82287,Mirza   Muhammad Nasir Baig,PPP,40236,,,
NA-119,Multan,,Syed Javed Ali Shah,PML-N,71953,Malik   Ghulam Abbas Khakhi,PPP,38173,,,
NA-120,Multan Khanewal,,Makhdoom Muhammad Javed,PML-N,59675,Shah   Mehmood Qureshi,PPP,49346,,,
NA-121,Khanewal,,Syed Fakhar Imam Shah,PML-N,56225,Raza   Hayyat Hiraj,PPP,49251,,,
NA-122,Khanewal,,Major (R) Aftab Ahmad Daha,PML-N,60525,Sardar   Allah Yar Hiraj,PPP,36936,,,
NA-123,Khanewal,,Majeeda Wyen,PML-N,68701,Pir   Muhammad Aslam Bodla,PPP,36932,,,
NA-124,Sahiwal,,Mian Anwar Ul Haq Ramay,PML-N,71832,Chaudahry Nauraiz Shakoor,PPP,32692,,,
NA-125,Sahiwal,,Chaudhary Muhammad Ashraf,PML-N,75214,Mehar   Ghulam Farid Kathia,PPP,24807,,,
NA-126,Sahiwal,,Rai   Ahmad Nawaz,PML-N,85145,Begum   Shahnaz Javed,PPP,39900,,,
NA-127,Sahiwal,,Raja Shahid Saeed Khan,PML-N,66563,Mian   Muhammad Amjad Joiya,PPP,42765,,,
NA-128,Sahiwal,,Mehmood Ahmad Khan,PML-N,67413,Rao   Muhammad Hashim Khan,PPP,38456,,,
NA-129,Vehari,,Muhammad Nawaz alias Dilawar Khan Khichi,PML-N,90967,Noor   Muhammad Khan Bhaba,PPP,36678,,,
NA-130,Vehari,,Tahmina Daultana,PML-N,70335,Akbar   Ali Bhatti,Independent,42355,,,
NA-131,Vehari,,Syed Shahid Mehdi Nasim,PML-N,75281,Qurban   Ali Chohan,PPP,47090,,,
NA-132,Dera Ghazi Khan,,Muhammad Amjad Farooq Khan Khosa,PML-N,73302,Sardar   Mansoor Ahmad Khan Leghari,Independent,59761,,,
NA-133,Dera Ghazi Khan,,Muhammad Jaffar Khan Leghari,Independent,69532,Imtiaz   Ahmad Khan Laghari,PML-N,48977,,,
NA-134,Rajanpur,,Sardar Nasrullah Khan Dreshik,Independent,73112,Mir   Balkh Sher Mazari,Independent,37768,,,
NA-135,Muzaffargarh,,Syed Jamil Ahmad Hussain Bukhari,PML-N,67542,Sardar   Abdul Qayyum Khan Jatoi,PPP,40880,,,
NA-136,Muzaffargarh,,Mian Atta Muhammad Qureshi,PML-N,48505,Nawabzada Nasrullah Khan,PDP,46096,,,
NA-137,Muzaffargarh III,,Malik Ghulam Muhammad Noor Rabbani Khar,,61482,Malik Ghulam Muhammad Fakhar ur Rusul Arbi Khar,,14293,,,
NA-138,Muzaffargarh,,Mian Ghulam Abbas Qureshi,PML-N,71852,Malik   Ghulam Muhammad Mustafa Khar,Independent,25910,,,
NA-139,Layyah,,Malik Ghulam Haidar Thind,PML-N,63098,Malik   Niaz Ahmad Jhakhar,PPP,37933,,,
NA-140,Layyah,,Sahibzada Faiz ul Hassan Sehwag,PML-N,50710,Muhammad Jahangir Khan,PPP,28444,,,
NA-141,Bahawalpur,,Nawab Salah Ud Din Abbasi,PML-N,86867,Shahzada Saeed Ur Rasheed Mehmood Abbasi,Independent,28709,,,
NA-142,Bahawalpur,,Shahzada Farooq Anwar Abbasi,PML-N,76518,Chaudhary Mumtaz Ahmad Jajja,PML-J,30611,,,
NA-143,Bahawalpur,,Seth Aqeel ur Rehman,PML-N,67215,Riaz Hussain Pirzada,PPP,37216,,,
NA-144,Bahawalnagar,,Doctor Noor Muhammad Ghaffari,PML-N,70015,Syed   Rashid Ahmad Shah,PML-J,34065,,,
NA-145,Bahawalnagar,,Mian Abdul Sattar Laleka,PML-N,72440,Mian   Mamtaz Ahmad Matiana,PPP,49033,,,
NA-146,Bahawalnagar,,Chaudhary Abdul Ghafoor,PML-N,72181,Ali   Akbar Mazhar Wains,PPP,45590,,,
NA-147,Rahim Yar Khan,,Makhdoom Syed Ahmad Mehmood,PML-N,62052,Makhdoom Syed Ahmad Alam Anwar,PPP,54459,,,
NA-148,Rahim Yar Khan,,Makhdoom Imad uddin,PML-N,68742,Makdoom Shahab Ud din,PPP,42683,,,
NA-149,Rahim Yar Khan III,,Chaudhary Muhammad Jaffar Iqbal,,76201,Ch. Zafar Iqbal Waraich,,40301,,,
NA-150,Rahim Yar Khan,,Syed Ahmad Mehmood,PML-N,76440,Sardar   Rafiq Haidar Khan Leghari,PPP,42687,,,
NA-151,Sukkur,,Syed Khurshid Ahmad Shah,PPP,42459,Islama   ud Din Shaikh,Independent,36369,,,
NA-152,Sukkur Ghotki,,Ali   Muhammad Khan Mehar,PPP,51816,Sardar   Haji Khan,Independent,11840,,,
NA-153,Sukkur,,Khalid Ahmad Khan Lund,PPP,46385,Faqir   Abdul Haq alias Mian Mitho,Independent,31825,,,
NA-154,Shikarpur,,Aftab Shahban Mirani,PPP,20806,Moulvi   Muhammad Alim Pahore,JUI-F,19069,,,
NA-155,Shikarpur,,Ghous Bakhash Khan Mahar,Independent,27009,Wahid   Bux Khan Bhayo,PPP,20038,,,
NA-156,Jacobabad,,Ellahi Bux Somro,PML-N,33700,Khawand Bakhash Somoro,PPP,21000,,,
NA-157,Jacobabad,,Mir   Hazar Khan Bajarani,PPP-SB,41325,Mir   Imran Khan Bajarani,PPP,21979,,,
NA-158,Nawabshah I,,Ghulam Mustafa Khan Jatoi,,49334,Haji Rehmat Ullah Behan,,24405,,,
NA-159,Nawabshah,,Syed Asgahr Ali Shah,PML-N,38080,Mian   Khalid Rajpar,PPP,28468,,,
NA-160,Nawabshah,,Syed Shaukat Hussain Shah,PML-N,37964,Faryal   Talpur,PPP,29634,,,
NA-161,Nawabshah,,Syed Shabbir Ahmad Shah,PML-N,40043,Mushtaq Ahmad Rahu,PPP,26731,,,
NA-162,Khairpur,,Syed Ghous Ali Shah,PML-N,58136,Syed   Asad Ali Shah,PPP,50984,,,
NA-163,Khairpur,,Peer Syed Fazal Ali Shah Jillani,PPP,53498,Syed Sadar Uddin Shah,Independent,45804,,,
NA-164,Larkana,,Begum Nusrat Bhutto,PPP,39045,Altaf   Hussain Annar,Independent,22269,,,
NA-165,Larkana,,Shabbir Ahmad Chandio,PPP,35377,Ghanwa   Bhutto,PPP-SB,24085,,,
NA-166,Larkana,,Mohtarma Benazir Bhutto,PPP,46992,Farooq   Ali Bhutto,PPP-Sb,22015,,,
NA-167,Hyderabad,,Makhdoom Amin Faheem,PPP,40743,Makhdoom Shah Nawaz,PPP-SB,18187,,,
NA-168,Hyderabad,,Tariq Javed,HPG,51226,Sahibzada Shabbir Ansari,Independent,16243,,,
NA-169,Hyderabad III,,Doctor Khalid Maqbool Siddiqui,,54044,Muhamamd Rashid Naghar,,12388,,,
NA-170,Hyderabad,,Syed Naveed Qamar,PPP,39225,Mir   Haidar Ali Khan Talpur,PML-N,15950,,,
NA-171,Hyderabad,,Mohtarma Benazir Bhutto,PPP,47897,Allah   Bux Khan Magsi,PPP-SB,22290,,,
NA-172,Badin,,Abdul Sattar Sirewal,PPP,25145,Ghulam   Ali Khan Nizamani,PML-N,18040,,,
NA-173,Badin,,Doctor Fahmida Mirza,PPP,26737,Syed   Ali Bakhash Shah,PML-N,23599,,,
NA-174,Tharparkar,,Pir   Aftab Hussain Shah Gillani,PPP,34477,Syed   Qurban Ali Shah,PML-N,29418,,,
NA-175,Tharparkar,,Pir   Noor Muhammad Shah Jillani,PML-N,28678,Nawab   Muhammad Yousif Talpur,PPP,22310,,,
NA-176,Tharparkar,,Arab Ghulam Raheem,Independent,53888,Makhdoom Saeed Uz Zaman Atif,PPP,28860,,,
NA-177,Dadu,,Malik Asad Sikandar,Independent,41223,Pir   Zaman Shah Jillani,PPP,34423,,,
NA-178,Dadu,,Muhammad Bux Jamali,PPP,35479,Mumtaz   Ali Bhand,PPP-SB,16946,,,
NA-179,Dadu,,Abdul Hameed Khan Jatoi,PML-N,40156,Rafiq   Ahmad Mahessar,PPP,37165,,,
NA-180,Sanghar,,Haji Peer Bakhash,Independent,49197,Jian   Khan Sarfaraz Rajar,PPP,16055,,,
NA-181,Sanghar,,Jam   Mashooq Ali,Independent,49474,Fida   Hussain Dero,PPP,33597,,,
NA-182,Thatta,,Ghulam Hussain Babu,PPP,35241,Doctor   Qadir Magsi,UNA,14196,,,
NA-183,Thatta,,Syed Shafqat Hussain Sherazi,PPP,42710,Abdul   Rehman,Independent,29271,,,
NA-184,Karachi West,,Mian Ijaz Shafi,PML-N,35451,Muhammad Irfan Khan,HPG,32668,,,
NA-185,Karachi West,,AK   Shams,HPG,85503,Muhammad Afaq Khan Shahid,PPP,8037,,,
NA-186,Karachi Central,,Kanwar Khalid Younis Ali Khan,HPG,63447,Dost   Muhammad Faizi,PML-N,15964,,,
NA-187,Karachi Central,,Muhammad Farooq Ahmed,HPG,62621,Hafiz   Muhammad Taqqi,PML-N,11220,,,
NA-188,Karachi Central,,Hassan Musana Alvi,HPG,105323,Muhammad Munawar Azeem Khan,PML-N,13276,,,
NA-189,Karachi South,,Waja Ahmad Karim Dad,PPP,23104,Muhammad Younis Baloch,PML-N,22792,,,
NA-190,Karachi South,,Dr.   Muhammad Farooq Sattar,HPG,27711,Haji   Muhammad Hanif Tayyab,PML-N,17333,,,
NA-191,Karachi South,,Caption (R) Haleem Ahmad Siddiqui,PML-N,31414,Muhammad Abdul Jalil,HPG,25008,,,
NA-192,Karachi East,,Ijaz Mehmood,HPG,32554,Syed   Hafeez Uddin,PML-N,14732,,,
NA-193,Karachi East,,Doctor Nishat Malik,HPG,36738,Abu   Bakat Shaikhani,PML-N,22328,,,
NA-194,Karachi East,,Muhammad Arif Khan,HPG,38637,Tuba   Durrani,PML-N,12945,,,
NA-195,Karachi East,,Shaikh Liaqat Hussain,HPG,26692,Sahabzada Muneer Uddin Khan,PML-N,19949,,,
NA-196,Karachi East,,Muhammad Farukkh Naeem Siddiqui,HPG,44394,Abdullah Murad,PPP,14169,,,
NA-197,Quetta Chagai,,Meer   Atif Ali Sanjrani,PML-N,25261,Hafiz   Hussain Ahmad,JUI-F,18700,,,
NA-198,Pishin,,Moulvi Abdul Ghani,JUI-F,25476,Muhammad Sarwar Khan Kakar,PML-J,22694,,,
NA-199,Loralai,,Sardar Muhammad Yaqoob Khan Nasir,PML-N,20428,Haji   Gul Muhammad Khan Dummar,JUI,14423,,,
NA-200,Zhob,,Moulvi Muhammad Khan Sherani,JUI-F,14679,Nawab   Muhammad Ayaz Khan Jogezai,PKMAP,7180,,,
NA-201,Kachhi,,Sardar Yar   Muhammad Rind,JWP,26363,Mir Tariq Hussain   Magsi,PML-N,19986,,,
NA-202,Sibbi Kohlu Dera Bugti Ziarat,,Nawab Muhammad Akbar Khan Bugti,JWP,29276,Nawab   Muhammad Ayaz Khan,PKMAP,9690,,,
NA-203,Jaffarabad,,Mir   Faridullah Khan Jamali,Independent,18703,Izhar   Hussain Khoso,BNP,13369,,,
NA-204,Kalat Kharan,,Sardar Muhammad Akhtar Maingal,BNP,26775,Molvi   Abdul Ghafoor Haidari,JUI-F,17126,,,
NA-205,Khuzdar,,Mir   Muhammad Hasil Khan Bazinjo,BNP,25615,Mir   Muhammad Ayub Jattak,BNM,19825,,,
NA-206,Lasbela Gwadur,,Jam   Muhammad Yousif,PML-N,33026,Ghulam   Akbar Lasi,PPP,11725,,,
NA-207,Turbat Panjgur,,Shakeel Ahmad Baloch Advocate,BNP,39838,Doctor   Muhammad Yasin Baloch,BNM,27863,,,
