na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-1,Peshawar,,Ghulam Ahmad Bloor,ANP,25930,Qamar Abbass,PPP,11275,,,
NA-2,Peshawar,,Arbab Muhammad Jehangir Khan,ANP,24094,Haji   Ghulam Ali,JUI-F,12415,,,
NA-3,Peshawar,,Arbab Saad Ulllah Khan,ANP,48451,Sardar Ali Khan,PPP,20291,,,
NA-4,Peshawar,,Wali Muhammad Khan,ANP,43511,Naseer Ullah Khan Babar,PPP,22213,,,
NA-5,Charsadda,,Asfand Yar Wali Khan,ANP,53059,Moulana Gohar Shah,JUI-F,34733,,,
NA-6,Mardan,,Haji Naseem Ur Rehman,ANP,36412,Haji   Muhammad Yaqoob,PPP,15564,,,
NA-7,Mardan,,Muhammad Azam Khan,ANP,29117,Muhammad Idress Khan,Independent,17104,,,
NA-8,Swabi,,Haji Rehman Ullah,ANP,39828,Iftikhar Ahmad Khan,PML-N,36589,,,
NA-9,Kohat,,Javid Ibrahim Paracha,PML-N,61412,Syed   Iftikhar Hussain Gillani,Independent,17142,,,
NA-10,Karak,,Shams Ur Rehman,ANP,22959,Muhammad Aslam Khan Khattak,Indepednent,15596,,,
NA-11,Abottabad,,Sardar Mehtab Ahmad Khan Abbasi,PML-N,55341,Aman   Ullah Khan Jadoon,Independent,21253,,,
NA-12,Abottabad,,Muhammad Nawaz Sharif,PML-N,62070,Sardar Haidar Zaman,Independent,30315,,,
NA-13,Haripur,,Gohar Ayub Khan,PML-N,73150,Khizar   Hayyat Khan,Independent,11594,,,
NA-14,Mansehra,,Sardar Muhammad Yousaf,PML-N,46918,Moulana Syed Ghulam Nabi Shah,JUI-F,21157,,,
NA-15,Mansehra,,Nawabzada Salah Uddin Saeed,PML-N,20438,Muhammad Azam Khan,Independent,17631,,,
NA-16,Battagram,,Muhammad Nawaz Khan,PML-N,17242,Alam Zeb Khan,JUI-S,12677,,,
NA-17,Kohistan,,Aurangzeb,Independent,10686,Maulana Abdul Baqi,PML-N,8204,,,
NA-18,Dera Ismail Khan,,Alhaj   Sardar Umar Farooq Khan,PML-N,74486,Moulana Fazal Ur Rehman,Independent,53948,,,
NA-19,Bannu,,Malik Nasir Khan,PML-N,19070,Moulana Naseeb Ali Shah,JUI-F,17902,,,
NA-20,Lakki Marwat,,Muhammad Kabir Khan Marwat,PML-N,35772,Anwar   Saif Ullah Khan,PML-J,35419,,,
NA-21,Swat,,Mian Gul Aurang Zeb,PML-N,25018,Faqir   Muhammad Khan,ANP,14402,,,
NA-22,Swat,,Shujat Ali Khan,PML-N,25142,Muhammad Ali Khan Advocate,ANP,11297,,,
