na,candidate_name,party,votes,rank
NA-1,Ghulam Ahmad Bloor,ANP,25930,1
NA-1,Qamar Abbass,PPP,11275,2
NA-1,Aurungzaib Mohmand,Independent,223,3
NA-1,Ghulam Muhammad Bazaz,Independent,193,4
NA-1,Rehmat Gul Afridi,Independent,150,5
NA-1,Muhammad Khurshid Anwar,Independent,67,6
NA-1,Qamar Ali Shah,Independent,54,7
NA-1,Muhammad Jahanzaib Khan,Independent,49,8
NA-2,Arbab Muhammad Jehangir Khan,ANP,24094,1
NA-2,Haji   Ghulam Ali,JUI-F,12415,2
NA-2,Ibadat   Ullah Khan,PTI,4348,3
NA-2,Muhammad Fayyaz Khan Khalil,PPP-SB,1859,4
NA-2,Taj   Muhammad Amar,NPP-WG,645,5
NA-2,Arbab   Mushtaq Ahmad,HPG,631,6
NA-2,Imtiaz   Elahi Paracha,Independent,570,7
NA-3,Arbab Saad Ulllah Khan,ANP,48451,1
NA-3,Sardar Ali Khan,PPP,20291,2
NA-3,Salim Akbar Afridi,PPP-SB,2149,3
NA-3,Muhammad Naeem Qasmi,Independent,842,4
NA-4,Wali Muhammad Khan,ANP,43511,1
NA-4,Naseer Ullah Khan Babar,PPP,22213,2
NA-4,Umar Khan Yousifzai,PTI,3022,3
NA-4,Syed Azmat Ali Shah Gillani (RTD),Independent,580,4
NA-5,Asfand Yar Wali Khan,ANP,53059,1
NA-5,Moulana Gohar Shah,JUI-F,34733,2
NA-5,Ejaz Khistro Khan,PPP-SB,5508,3
NA-5,Ziarat Gul,Independent,3818,4
NA-5,Hikmat Shah,Independent,1919,5
NA-5,Muhammad Nazeef,PKMAP,1485,6
NA-5,Engineer Fawad ul Haq,TIP,1263,7
NA-6,Haji Naseem Ur Rehman,ANP,36412,1
NA-6,Haji   Muhammad Yaqoob,PPP,15564,2
NA-6,Latif   Ur Rehman,PTI,7264,3
NA-6,Fazil   E Azam,HPG,699,4
NA-7,Muhammad Azam Khan,ANP,29117,1
NA-7,Muhammad Idress Khan,Independent,17104,2
NA-7,Haji   Sarfraz Khan,PPP,15743,3
NA-7,Muhammad Zahir,PAP,4935,4
NA-7,Sikandar Khan,Independent,3704,5
NA-7,Moulana Noor ur Haq,AQP,1208,6
NA-7,Ziarat   Khan Tormand,Independent,959,7
NA-7,Aurangzaib Khan,HPG,542,8
NA-7,Colonel (R) Haji Syed Nasir Shah,TIP,397,9
NA-8,Haji Rehman Ullah,ANP,39828,1
NA-8,Iftikhar Ahmad Khan,PML-N,36589,2
NA-8,Munfat   Khan,PPP,12279,3
NA-8,Asad   Qaisar,PTI,4113,4
NA-8,Awal   Sher Khan,Independent,4009,5
NA-8,Syed   Zabihullah,PPP-SB,2399,6
NA-8,Ayub   Khan,AQP,2031,7
NA-8,Hakim   Khan,PAP,1770,8
NA-8,Shad   Nabi,Independent,1219,9
NA-8,Yaqoob   Khan,PML-J,1039,10
NA-8,Gul   Mast Khan (Rtd),Independent,686,11
NA-8,Abdul   Hafeez Khan,Independent,141,12
NA-9,Javid Ibrahim Paracha,PML-N,61412,1
NA-9,Syed   Iftikhar Hussain Gillani,Independent,17142,2
NA-9,Syed   Abid Javed,PPP-SB,5894,3
NA-9,Malik   Fida Muhammad,JUI-S,5082,4
NA-9,Al-Haj   Muhammad Hafeez Ullah,Independent,4621,5
NA-10,Shams Ur Rehman,ANP,22959,1
NA-10,Muhammad Aslam Khan Khattak,Indepednent,15596,2
NA-10,Raza   Kulli Khan Khattak,PML-N,5945,3
NA-10,Malik   Zafar Azam,Independent,5845,4
NA-10,Brigadier (R) Bashir Hussain,Independent,2661,5
NA-10,Maulana Mir Zaqeem Khan,JUI-S,1654,6
NA-10,Altaf   Qadir,Independent,713,7
NA-10,Muhammad Riaz,Independent,310,8
NA-10,Abdul   Haleem Khattak,Independent,148,9
NA-11,Sardar Mehtab Ahmad Khan Abbasi,PML-N,55341,1
NA-11,Aman   Ullah Khan Jadoon,Independent,21253,2
NA-11,Imran   Ahmad Khan Niazi,PTI,5227,3
NA-11,Sardar   Gulzar Ahmad Abbasi,PPP,2509,4
NA-11,Rashida Batool,PPP-SB,1405,5
NA-11,Haji   Mushtaq Awan,Independent,1097,6
NA-11,Qari   Mehboob ur Rehman Qureishi,JUI-F,431,7
NA-12,Muhammad Nawaz Sharif,PML-N,62070,1
NA-12,Sardar Haidar Zaman,Independent,30315,2
NA-12,Suleman Farsi,PTI,3187,3
NA-12,Abdul Latif Abbasi,PPP,1918,4
NA-13,Gohar Ayub Khan,PML-N,73150,1
NA-13,Khizar   Hayyat Khan,Independent,11594,2
NA-13,Muhammad Shehr Yar Khan,PTI,9067,3
NA-13,Muhammad Tahir Qureshi,PPP,6162,4
NA-14,Sardar Muhammad Yousaf,PML-N,46918,1
NA-14,Moulana Syed Ghulam Nabi Shah,JUI-F,21157,2
NA-14,Asif   Akbar Khan,Independent,6154,3
NA-14,Sher   Baz Khan Akhundzada,Independent,1127,4
NA-14,Abdul   Sattar Khan Swati,PTI,843,5
NA-15,Nawabzada Salah Uddin Saeed,PML-N,20438,1
NA-15,Muhammad Azam Khan,Independent,17631,2
NA-15,Zar   Gul,Independent,15817,3
