na,candidate_name,party,votes,rank
NA-175,Jamshed Ahmad Khan Dasti,Independent,113391,1
NA-175,Mehar Irshad Ahmad Khan Sial,PPP,72058,2
NA-175,Hammad Nawaz Khan Tipu,PML-N,47426,3
NA-175,Muhammad Yar Mehboob Ghazi Khar,TLP,9941,4
NA-175,Sardar Abdul Hai Dasti,Independent,6274,5
NA-175,Dr. Sohail Alam,Independent,2660,6
NA-175,Shoaib Kamran Khan Qalandrani,Independent,1740,7
NA-175,Najam Ul Hassan,Independent,1703,8
NA-175,Muhammad Ajmal Khan,PMML,1660,9
NA-175,Syed Abdul Wadood Azad,JUI-F,1240,10
NA-175,Rana Muhammad Afzal,JIP,1238,11
NA-175,Mian Muhammad Ayub Qureshi,Independent,1230,12
NA-175,Muhammad Farhan Khan Shehryar,Independent,1038,13
NA-175,Ameer Akbar Sial,Independent,873,14
NA-175,Muhammad Usman Farooq Baloch,Independent,770,15
NA-175,Samad Raza,Independent,690,16
NA-175,Khadim Hussain Ghouri,Independent,576,17
NA-175,Nazia,Independent,559,18
NA-175,Shaista Kanwal,Independent,451,19
NA-175,Mute Ur Rahman,Independent,299,20
NA-175,Muhammad Zahid,Independent,218,21
NA-175,Fazal Ur Rahman,MQM,189,22
NA-175,Muhammad Naved Asghar,Independent,187,23
NA-175,Syed Ghulam Ali Bukhari,Independent,180,24
NA-175,Mehr Muhammad Javed Hasan,Independent,166,25
NA-175,Zulfiqar Ali Dasti,PAAM,142,26
NA-175,Sajid Waheed Khan,Independent,78,27
