na,candidate_name,party,votes,rank
NA-179,Mian Muhammad Shabbir Ali Qureshi,Independent,104329,1
NA-179,Malik Ghulam Qasim Hanjra,PML-N,83851,2
NA-179,Syed Muhammad Sarwar Shah,TLP,11836,3
NA-179,Tahir Mehmood,Independent,4295,4
NA-179,Mian Amjad Abbas Qureshi,PPP,4102,5
NA-179,Syed Muhammad Shahbaz Ghous Bukhari,Independent,2543,6
NA-179,Saddam Ul Haq,JIP,801,7
NA-179,Imran Ali,PMML,678,8
NA-179,Ghulam Shabbir,PRP,645,9
NA-179,Malik Tahir Sultan Meladi Khar,Independent,457,10
NA-179,Khalida Perveen,Independent,444,11
NA-179,Abdul Salam,SKQM,272,12
NA-179,Muhammad Sajjad Shahid,Independent,205,13
NA-179,Muhammad Ashraf Khan Rind,Independent,175,14
NA-179,Muhammad Suleman,Independent,154,15
NA-179,Rabia Malik,Independent,136,16
NA-179,Muhammad Asif Khan,Independent,122,17
NA-179,Benazir Fatima Qurashi,Independent,112,18
NA-179,Muhammad Arshad Siddiqui,Independent,97,19
NA-179,Muhammad Tayyab Tahir Pattal,Independent,94,20
NA-179,Safdar Abbas Chandia,Independent,81,21
NA-179,Muhammad Asghar,Independent,78,22
NA-179,Rauf Ur Rehman,Independent,47,23
