na,candidate_name,party,votes,rank
NA-95,Ali Afzal Sahi,Independent,144229,1
NA-95,Azad Ali Tabassum,PML-N,93586,2
NA-95,Ghulam Meeran Shah Gillani,TLP,19071,3
NA-95,Usman Nawaz,PPP,8788,4
NA-95,Talha Zafar,Independent,2396,5
NA-95,Amjad Tufail,Independent,2172,6
NA-95,Muhammad Aamir Nawaz,Independent,1433,7
NA-95,Muhammad Zafar Iqbal,PMML,1214,8
NA-95,Muhammad Naeem,JIP,1134,9
NA-95,Khalil Ur Rehman,PAT,1074,10
NA-95,Malik Shamsheer Khan,Independent,616,11
NA-95,Ghulam Asghar,Independent,237,12
NA-95,Huma Batool,Independent,217,13
NA-95,Tariq Mehmood,Independent,165,14
NA-95,Khurram Babar Rafiq,Independent,163,15
NA-95,Muhammad Shahbaz Khan,Independent,161,16
NA-95,Aamir Farooq,Independent,158,17
NA-95,Qamar Mehmood,Independent,109,18
NA-95,Rana Fayyaz Ahmad,Independent,93,19
NA-95,Muhammad Waqar Azeam,Independent,84,20
NA-95,Sana Ullah Qamar Bajwa,Independent,76,21
NA-95,Muhammad Zaman Tariq,Independent,64,22
NA-95,Muhammad Zubair Ahsan Khan,Independent,62,23
NA-95,Muhammad Tehseen Alvi,Independent,33,24
NA-95,Kashif Hameed Awan,Independent,25,25
