na,candidate_name,party,votes,rank
NA-15,Shahzada Muhammad Gushtasap Khan,Independent,105259,1
NA-15,Mian Muhammad Nawaz Sharif,PML-N,80413,2
NA-15,Mufti Kifayat Ullah,JUI-F,29938,3
NA-15,Zar Gul Khan,PPP,5443,4
NA-15,Tahir Riaz,TLP,4423,5
NA-15,Muhammad Khalid,JIP,4125,6
NA-15,Sannaya Sabeel,Independent,3302,7
NA-15,Muhammad Haroon,Independent,3071,8
NA-15,Babar Khan,Independent,794,9
NA-15,Safeer Ahmed,Independent,503,10
NA-15,Umbereen Faiz Sheraz,Independent,444,11
NA-15,Muhammad Irshad,Independent,352,12
NA-15,Saleh Muhammad,PTI-P,280,13
NA-15,Aamir Shahzad,HQMP,209,14
NA-15,Rustam Khan (Retired),PNP,15,15
