na,candidate_name,party,votes,rank
NA-155,Khan Muhammad Saddique Khan Baloch,PML-N,117687,1
NA-155,Jahangir Khan Tareen,IPP,71131,2
NA-155,Muhammad Qasim,Independent,53174,3
NA-155,Rana Muhammad Rafiq,TLP,14366,4
NA-155,Ghulam Mustafa,Independent,11461,5
NA-155,Muhammad Azhar,PPP,9004,6
NA-155,Iffat Tahira Somro,Independent,2593,7
NA-155,Saleem Abbas,SDP,1980,8
NA-155,Zia Ur Rehman Tamini,JUI-F,1505,9
NA-155,Muhammad Umair Baloch,Independent,1384,10
NA-155,Mudassir Jahanzib Shah,Independent,1126,11
NA-155,Ahmed Deen Malik,PML-Z,545,12
NA-155,Muhammad Iqbal Shah,Independent,526,13
NA-155,Sajid Iqbal,PMML,452,14
NA-155,Waseem Ahmad,PPAP-A,376,15
NA-155,Muhammad Akram Qaiser,Independent,300,16
NA-155,Syed Ali Muhammad Shah Bukhari,Independent,206,17
