na,candidate_name,party,votes,rank
NA-143,Rai Hassan Nawaz Khan,Independent,147887,1
NA-143,Chaudhary Muhammad Tufail Jatt,Independent,83806,2
NA-143,Malik Nauman Ahmed Langriyal,IPP,32273,3
NA-143,Ch. Zahid Iqbal,Independent,19990,4
NA-143,Majid Hussain Rizvi,TLP,17687,5
NA-143,Ali Javed,PPP,6363,6
NA-143,Rai Muhammad Iqbal Ahmad Khan,Independent,4698,7
NA-143,Faiz Miran Gujjar,JIP,3166,8
NA-143,Ch. Arshad Nawab,PMML,2813,9
NA-143,Naseem Aslam,Independent,812,10
NA-143,Raja Kamran Akhtar,Independent,672,11
NA-143,Ahmed Murtaza,Independent,576,12
NA-143,Salwat Shahzad Aziz,PAT,460,13
NA-143,Rai Muhammad Murtaza Iqbal,Independent,454,14
NA-143,Ahmad Ali Nasir,Independent,354,15
NA-143,Faisal Farrukh Nawab,Independent,352,16
NA-143,Yasar Altaf Rana,NP,220,17
