na,candidate_name,party,votes,rank
NA-113,Ahmad Atteeq Anwar,PML-N,119407,1
NA-113,Rahat Aman Ullah Bhatti,Independent,90872,2
NA-113,Muhammad Nouman Khalid,TLP,26257,3
NA-113,Umar Sikandar,Independent,6820,4
NA-113,Sabir Hussain,PPP,6404,5
NA-113,Khurram Ijaz Chatha,Independent,1871,6
NA-113,Zaheer Baber,JIP,1642,7
NA-113,Muhammad Anwar Rasheed,Independent,1228,8
NA-113,Rana Afzaal Hussain,Independent,1160,9
NA-113,Umer Aftab Dhillon,Independent,1111,10
NA-113,Muhammad Asif Sulehria,PAT,772,11
NA-113,Chaudhary Aftab Iqbal Ahmad Dhilu,Independent,745,12
NA-113,Ahmad Sikandar,Independent,269,13
NA-113,Muhammad Riaz Shahid,Independent,218,14
NA-113,Usman Nasir,Independent,217,15
