na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-1,Peshawar,,Haji Mohammad Unis Elahi,,26815,Syed Zafar Ali Shah,,22524,,,
NA-2,Peshawar,,Muhammad Saleem Khan,,38189,Colonel (R) Arbab Niaz Muhammad Khan,,23473,,,
NA-3,Peshawar,,Hameed Khan,,13165,Muhammad Yousaf Khan Mohmand,,11029,,,
NA-4,Peshawar,,Moulana Abdul Haq,,45709,Majar (R) Muhammad Aslam Khan,,10336,,,
NA-5,Peshawar,,Muhammad Aslam,,,,,,,,
NA-6,Mardan,,Nawabzada Abdul Ghafoor Khan Hooti,,18112,Haji Noor Muhamamd Khan,,6556,,,
NA-7,Mardan,,Molana Gauhar Rahman,,14063,Doctor Haji Misal Khan,,10630,,,
NA-8,Mardan,,Fazal Daad Khan,,12162,Muhammad Sher Khan,,7992,,,
NA-9,Mardan,,Yaqoob Khan Jadoon,,8353,Sherin Khan,,7462,,,
NA-10,Kohat,,Haji Nadir Shah,,20120,Muhammad Ilyas,,8986,,,
NA-11,Kohat Karak,,Muhammad Aslam Khan Khattak,,29065,Moulana Shaheed Ahmad,,21587,,,
NA-12,Abbottabad,,Amanullah Khan Jadoon,,39770,Sahabzada Muhammad Azhar,,32179,,,
NA-13,Abbottabad,,Javed Iqbal Abbasi,,31750,Sardar Gull Khitab Khan,,28008,,,
NA-14,Abbottabad,,Gohar Ayub Khan,,48828,Raja Sikandar Zaman Khan,,44371,,,
NA-15,Mansehra,,Syed Qasim Shah,,54936,Syed Muzammil Shah,,24785,,,
NA-16,Mansehra,,Nawabzada Salahuddin Saeed,,14709,Begum Fakhr Uzzaman,,12567,,,
NA-17,Mansehra Kohistan,,Muhammad Ayub Khan,,17755,Alamzeb Khan,,12382,,,
NA-18,Dera Ismail Khan,,Pir Mohammad Sabir Shah,,66750,Alhaj Sardar Inayatullah Khan,,51801,,,
NA-19,Bannu,,Khuda Dad Khan,,19881,Haji Muhammad Rafiq Khan,,15691,,,
NA-20,Bannu,,Ghulam Uddin Khan Marwat,,40339,Haji Saadullah Khan,,33557,,,
