na,constituency_name,province,winner_name,winner_party,winner_votes,runnerup_name,runnerup_party,runnerup_votes,registered_voters,votes_polled,turnout_pct
NA-21,Swat,,Miangul Aurangzeb,,32434,Faqir Muhammad,,14682,,,
NA-22,Swat,,Fazl-e-Raziq,,20568,Said Karim Khan,,17158,,,
NA-23,Swat,,Fateh Muhammad Khan,,20101,Abdul Rehman,,18233,,,
NA-24,Chitral,,Shahzada Mohiuddin,,26707,Moulana Abdul Rahim Chitrali,,22746,,,
NA-25,Malakand Dir,,Maulana Muhammad Inayat-ur-Rehman,,25950,Ajab Khan,,15518,,,
NA-26,Dir,,Sahibzada Fatehullah,,31166,Haji Amanullah Khan,,26966,,,
NA-27,Trial Area,,Malik Fazal e Manan Mohmand,,2022,Zarin,,1577,,,
NA-28,Trial Area,,Umer Din Bangash,,830,,,,,,
NA-29,Trial Area,,Malik Haji Khial Shah,,2253,Mir Afzal,,1855,,,
NA-30,North Waziristan Trial Area,,Malik Jahangir Khan,,838,Sultan Muhammad,,19,,,
NA-31,Trial Area,,Malik Said Khan Mehsud,,,,,,,,
NA-32,Trial Area,,Abdus Subhan Khan,,1769,Shah Jehan,,1513,,,
NA-33,Trial Area,,Haji Gul Sher Khan,,1096,Nawab Khan,,738,,,
NA-34,Trial Area,,Noor Sher Khan,,1147,Nasarullah,,15,,,
NA-35,Islamabad,,Muhammad Nawaz Khokhar,,18391,Zafar Ali Shah,,16190,,,
NA-36,Rawalpindi,,Muhammad Khaqaan Abbasi,,61618,Raja Muhammad Zafar ul Haq,,53233,,,
NA-37,Rawalpindi,,Malik Mehboob Hussain,,24569,Abdul Aziz,,24359,,,
NA-38,Rawalpindi,,Sheikh Rasheed Ahmad,,40421,Ghulam Hussain,,19636,,,
NA-39,Rawalpindi,,Raja Shahid Zafar,,41771,Raja Muhammad Basharat,,37475,,,
NA-40,Rawalpindi,,Chaudahry Nisar Ali Khan,,49071,Safdar Ali Shah,,32392,,,
NA-41,Attock,,Malik Muhammad Aslam,,35479,Taj Muhammad Khan Khanzada,,34709,,,
NA-42,Attock,,Sardar Muhammad Sarfraz Khan,,59056,Malik Nasar Ali Khan,,42683,,,
NA-43,Attock,,Malik Nur Khan,,69828,Muhammad Akbar Khan,,38835,,,
NA-44,Jhelum,,Raja Muhammad Afzal Khan,,60626,Chaudhary Muhammad Altaf Hussain,,56153,,,
NA-45,Jhelum,,Lt. General (R) Abdul Majeed Malik,,53469,Sardar Muhammad Ashraf Khan,,41549,,,
NA-46,Jhelum,,Raja Muhammad Afsar,,40344,Raja Lehrasab Khan,,27267,,,
NA-47,Gujrat,,Nawabzada Mazhar Ali,,62499,Chaudhary Tajamal Hussain,,1424,,,
NA-48,Gujrat,,Chaudhary Shujat Hussain,,63184,Irshad Begum,,18143,,,
NA-49,Gujrat,,Syed Manzoor Hussain Shah,,35871,Chaudhary Muhammad Safdar,,35316,,,
NA-50,Gujrat,,Chaudhary Muhammad Iqbal,,40830,Masood Ahmad,,31844,,,
NA-51,Gujrat,,Ch. Mumtaz Ahmad Tarar,,43446,Ahmad Yar,,38403,,,
NA-52,Gujrat,,Chaudhary Muhammad Nawaz Bosal,,22583,Umar Hayat Gondal,,17456,,,
NA-53,Khushab,,Malik Naseem Ahmed Aheer,,35450,Aziz ul Haq Qureshi,,33683,,,
NA-54,Khushab,,Malik Muhammad Naeem Khan,,51914,Al-haj Karam Bakhsh Awan,,38604,,,
NA-55,Sargodha,,Syed Nusrat Ali Shah,,62838,Muhammad Aslam Hayat,,49347,,,
NA-56,Sargodha,,Malik Muhammad Aslam Katcheela,,38758,Malik Muhammad Khan Awan,,32677,,,
NA-57,Sargodha,,Chaudhary Anwar Ali Cheema,,69001,Afzaal Khalid,,34572,,,
NA-58,Sargodha,,Ch. Amanullah Khan Badhrana,,37984,Shaikh Ahmad,,35096,,,
NA-59,Sargodha,,Malik Nur Hayat Khan Noon,,56461,Mian Nasir Ahmad,,39872,,,
NA-60,Mianwali,,Maqbool Ahmad Khan,,64875,Nawabzada Malik Muhammad Muzaffar Khan,,33449,,,
NA-61,Mianwali Bhakkar,,Doctor Sher Afgan Khan Niazi,,61924,Aamer Hayat Khan,,60955,,,
NA-62,Bhakkar,,Amanullah Khan Shahani,,68709,Rasheed Akbar Khan Nawani,,65781,,,
NA-63,Jhang,,Sardarzada Muhammad Ali Shah,,47487,Dost Muhammad Lali,,44632,,,
NA-64,Jhang,,Maulana Muhammad Rahmatullah,,66645,Mehar Muhammad Fuzail Khan,,40412,,,
NA-65,Jhang,,Nawab Amanullah Khan Siyal,,47575,Iftikhar Ahmad Ansari,,45034,,,
NA-66,Jhang,,Begum Syeda Abida Hussain,,75063,Haji Ghulam Ahmad,,49240,,,
NA-67,Jhang,,Khan Muhammad Arif Khan,,54549,Sahabzada Muhammad Nazeer Sultan,,49199,,,
NA-68,Faisalabad,,Muhammad Anwar Ali Khan,,41602,Sabiha Shakeel,,17925,,,
NA-69,Faisalabad,,Raja Nadir Parvaiz Khan,,37202,Mian Zahid Sarfraz,,20092,,,
NA-70,Faisalabad,,Muhammad Hanif Ansari,,26055,Muhammad Iqbal Haider,,20966,,,
NA-71,Faisalabad,,Ch. Muhammad Nazir Ahmad,,55457,Dildar Ahmad Cheema,,45868,,,
NA-72,Faisalabad,,Rai Salahuddin Khan,,35652,Mian Ghulam Dastgir Bari,,33560,,,
NA-73,Faisalabad,,Doctor Muhammad Shafiq Chaudhary,,23138,Ch. Muhammad Afzal,,15585,,,
NA-74,Faisalabad,,Ch. Muhammad Bashir Randhawa,,29054,Imtiaz Ahmad Gill,,28879,,,
NA-75,Faisalabad,,Muhammad Ashraf Khan Lashari,,56906,Rai Arif Hussain,,23098,,,
NA-76,Faisalabad,,Muhammad Abdullah Ghazi,,32771,Malik Muhammad Ali Shad,,30510,,,
NA-77,Faisalabad,,Mian Nasir Ali Khan Baloch,,35777,Shahid Khalil Noor,,17679,,,
NA-78,Toba Tek Singh,,Makhdoom Syed Ali Raza Shah,,68480,Chaudhary Asad ur Rehman,,46749,,,
NA-79,Toba Tek Singh,,Chaudhary Abdul Sattar,,36641,Malik Nadir Khan Tiwana,,34484,,,
NA-80,Toba Tek Singh,,Hamza,,42954,Haji Muhammad Ishaq,,27706,,,
NA-81,Lahore,,Pir Muhammad Ashraf,,28954,Khawaja Ahmad Tariq Rahim,,16847,,,
NA-82,Lahore,,Iqbal Ahmad Khan,,30979,Mian Miraj Din,,21986,,,
NA-83,Lahore,,Shaikh Rohail Asghar,,46646,Mian Abdul Kabir,,19056,,,
NA-84,Lahore,,Liaqat Baloch,,26258,Begum Afsar Raza Qazilbash,,16388,,,
NA-85,Lahore,,Mian Muhammad Asif,,21415,Rehmat Ellahi,,15567,,,
NA-86,Lahore,,Mian Muhammad Nawaz Sharif,,35719,Syed Ahmad Hasan Asad Gilani,,17896,,,
NA-87,Lahore,,Hafiz Salman Butt,,18895,Mian Salahuddin,,15377,,,
NA-88,Lahore,,Haji Muhammad Asghar,,28210,Malik Shah Muhammad Awan,,28040,,,
NA-89,Kasur,,Sardar Aseff Ahmad Ali,,41930,Khizar Hayat Khan,,28233,,,
NA-90,Kasur,,Rao Muhammad Khizar Hayat,,35430,Kamaluddin Kamal Salarpuri,,19145,,,
NA-91,Kasur,,Sardar Abdul Hameed,,52880,Rana Phool Muhammad Khan,,44544,,,
NA-92,Kasur,,Maulana Moeenuddin Lakhvi,,33615,Sardar Muhammad Ashiq,,25217,,,
NA-93,Sheikhupura,,Rana Tanveer Hussain,,43337,Muhammad Jamil,,35056,,,
NA-94,Sheikhupura,,Mian Abdul Raouf,,52871,Nazir Ahmad Virk,,44642,,,
NA-95,Sheikhupura,,Mian Shamim Haider,,55625,Chaudahry Muhammad Barjees Tahir,,47222,,,
NA-96,Sheikhupura,,Malik Sarfraz Ahmad,,36612,Abdul Rasheed,,25208,,,
NA-97,Sheikhupura,,Rai Mansab Ali Khan,,52923,Bashir Ahmad Khan,,39878,,,
NA-98,Gujranwala,,Hamid Nasir Chattha,,80834,Saif Ali Chattha,,39779,,,
NA-99,Gujranwala,,Brigadier (R) Iftikhar e Bashir,,41690,Malik Fazal Hussain,,33371,,,
NA-100,Gujranwala,,Sheikh Muhammad Mansoor,,64069,Ghulam Dastagir Khan,,39785,,,
NA-101,Gujranwala,,Brigadier (R) Chaudhary Muhammad   Asghar,,46593,Ch. Muhammad Anwar,,44459,,,
NA-102,Gujranwala,,Rana Nazir Ahmad Khan,,57000,Syed Muhammad Khalil-ur-Rehman Chishti,,47816,,,
NA-103,Gujranwala,,Chaudahry Ejaz Ahmad,,69215,Kazim Ali,,42732,,,
NA-104,Sialkot I,,Khawaja Muhammad Safdar,,41987,Mian Muhammad Naeem ur Rehman,,37168,,,
NA-105,Sialkot,,Chaudhary Ameer Hussain,,23415,Muhammad Rashid Akhtar,,22821,,,
NA-106,Sialkot,,Muhammad Akram Khan,,43971,Nazir Ahmad Khan,,30759,,,
NA-107,Sialkot,,Sahibzada Muhammad Ahmad,,55626,Abdul Sattar,,44617,,,
NA-108,Sialkot,,Chaudhary Muhammad Sarwar Khan,,56368,Ch. Muhammad Akbar Kahloon,,45756,,,
NA-109,Sialkot,,Chaudhary Shafaat Ahmad Khan,,43240,Ch. Anwar ul Haq,,35389,,,
NA-110,Sialkot,,Anwar Aziz Chaudhary,,58538,Muhammad Idrees Taj,,27397,,,
NA-111,Multan,,Syed Fakhar Imam Shah,,61410,Mehar Muhammad Iqbal Heraj,,52592,,,
NA-112,Multan,,Pir   Qamar uz Zaman Shah Khagga,,47717,Aftab   Ahmad Khan Daha,,47561,,,
NA-113,Multan,,Pir Muhammad Sanaullah Bodla,,60874,Pir Shujaat Hasnain Quershi,,49357,,,
NA-114,Multan,,Javed Qureshi Hashmi,,46947,Chaudhary Abdul Rehman Wahala,,45787,,,
NA-115,Multan,,Makhdom Syed Hamid Raza Gillani,,55091,Syed Muhammad Razi Shah Gardezi,,34479,,,
NA-116,Multan,,Babo Feroz Din Ansari,,30565,Ghulam Qasim Khan Khawani,,29058,,,
NA-117,Multan,,Shaikh Muhammad Rasheed,,37024,Syed Tanweer ul Hassan Shah Gillani,,35659,,,
NA-118,Multan,,Muhammad Siddique Khan Kanjo,,65813,Khurshid Ahmad Khan Kanju,,36789,,,
NA-119,Multan,,Makhdoom Syed Yousif Raza Gillani,,47904,Syed Nasir Uddin Shah,,38406,,,
NA-120,Multan,,Rana Shaukat Hayat Noon,,62081,Rana Taj Ahmad Noon,,53028,,,
NA-121,Vehari,,Muhammad Nawaz Khan alias Dilawar Khan   Khichi,,74111,Mian Muhammad Mumtaz Khan,,54643,,,
NA-122,Vehari,,Mian Riaz Ahmad Khan Daultana,,62973,Chaudhary Muhammad Ishaq,,43496,,,
NA-123,Vehari,,Syed Shahid Mehdi Naseem Shah,,68269,Qurban Ali Chohan,,49735,,,
NA-124,Dera Ghazi Khan,,Khawja Ghulam Moin Uddin,,60251,Mian Muhammad Ramzan Advocate,,20932,,,
NA-125,Dera Ghazi Khan,,Sardar Maqsood Ahmad Khan Leghari,,61430,Anwar Hassan,,35753,,,
NA-126,Rajanpur,,Mir Balakh Sher Khan Mazari,,84443,Aashiq Muhammad Khan Mazari,,67596,,,
NA-127,Muzaffargarh,,Dr. Mian Zulfiqar Ali Barq,,51630,Malik Muhammad Shabbir Langrial,,45725,,,
NA-128,Muzaffargarh,,Malik Ghulam Muhammad Mujtaba Ghazi   Khar,,60098,Mian Ehsan Karim Qureshi,,55596,,,
NA-129,Muzaffargarh,,Malik Ghulam Muhammad Murtaza Khar,,67698,Mian Mehar Ahmad Gurmani,,42023,,,
NA-130,Layyah,,Ghulam Farid Khan Mirani,,32339,Malik Niaz Ahmad Jhakkar,,29215,,,
NA-131,Layyah,,Sardar Muhammad Jahangir Khan Sehar,,28095,Ahmad Ali,,19733,,,
NA-132,Sahiwal,,Muhammad Rafiq Safdar,,33566,Chaudhary Nauraiz Shakoor,,31066,,,
NA-133,Sahiwal,,Rana Naeem Mahmood Khan,,54445,Tajuddin,,42704,,,
NA-134,Sahiwal,,Rai Ahmed Nawaz,,52597,Muhammad Iqbal Khan,,47004,,,
NA-135,Sahiwal,,Mian Ghulam Muhammad Ahmad Khan Manika,,62236,Mian Ahmad Ali Baitu,,50240,,,
NA-136,Sahiwal,,Raja Shahid Saeed Khan,,43040,Abdul Waheed Khan,,25231,,,
NA-137,Okara,,Mian Muhammad Zaman,,64889,Rao Farman Ali Khan,,61483,,,
NA-138,Okara,,Syed Sajjad Haider,,70980,Rao Muhammad Afzal Khan,,45380,,,
NA-139,Okara,,Mian Muhammad Yasin Khan Wattoo,,70173,Mian Atta Muhammad Khan Maneka,,67512,,,
NA-140,Bahawalpur,,Shahzada Saeed ur Rasheed Mahmood   Abbasi,,57122,Haji Haq Nawaz,,15212,,,
NA-141,Bahawalpur II,,Chaudhary Mumtaz Ahmed Jajja,,33638,Ch. Hashmat Ali,,30747,,,
NA-142,Bahawalpur,,Syed Tasneem Nawaz Gardezi,,51686,Seth Aqeel ur Rehman,,25560,,,
NA-143,Bahawalpur Bahawalnagar,,Sahibzada Mian Noor Hassan,,36727,Abdul Hameed,,27026,,,
NA-144,Bahawalnagar,,Syed Muhammad Ahmad Shah,,42415,Colonel (R) Qamar uz Zaman,,24090,,,
NA-145,Bahawalnagar,,Mian Abdul Sattar Laleka,,45069,Mian Manzoor Ahmad Mohal,,30527,,,
NA-146,Bahawalnagar,,Chaudhary Abdul Ghafoor,,59440,Naseem Akhtar,,54398,,,
NA-147,Rahim Yar Khan,,Syed Ahmad Alam Anwar,,76231,Hazrat Khawaja Jamal Muhammad Koreja,,44291,,,
NA-148,Rahim Yar Khan,,Haji Muhammad Saifullah Khan,,59775,Shaikh Fayyaz Uddin,,44858,,,
NA-149,Rahim Yar Khan,,Makhdoom Imaduddin,,59723,Zahid Hameed,,44977,,,
NA-150,Rahim Yar Khan,,Makhdumzada Syed Hassan Mehmood,,65268,Syed Saleh Muhammad Shah,,33165,,,
NA-151,Sukkur,,Islam uddin Sheikh,,44118,Ali Hassan,,32434,,,
NA-152,Sukkur,,Sardar Ghulam Muhammad Khan Mehar,,65667,Khalid Ahmad,,665,,,
NA-153,Sukkur,,Sardar Haji Noor Muhammad Khan Lund,,56235,Mian Abdul Haq,,24009,,,
NA-154,Shikarpur,,Ellahi Bakhsh Soomro,,,,,,,,
NA-155,Shikarpur,,Agha Atta Muhammad Khan,,50014,Agha Sadaruddin Khan,,11052,,,
NA-156,Jacobabad,,Mir Mahran Khan Bijarani,,73728,Mir Hakim Ali,,27622,,,
NA-157,Jacobabad,,Raheem Bukhsh Soomro,,61687,Mir Darya Khan,,31034,,,
NA-158,Nawabshah,,Syed Zafar Ali Shah,,57304,Syed Manzoor Hussain Shah,,50732,,,
NA-159,Nawabshah,,Dil Murad Jamali,,43051,Haji Rehmatullah,,27195,,,
NA-160,Nawabshah,,Syed Ali Asghar Shah,,34140,Muhammad Umar Dahri,,26239,,,
NA-161,Nawabshah,,Syed Bashir Ahmad   Shah,,,,,,,,
NA-162,Khairpur,,Syed Ali Gohar Shah,,69766,Gulzar Unner,,51315,,,
NA-163,Khairpur,,Syed Abdul Razaq Shah,,29497,Syed Mohyuddin alias Uddal Shah,,16203,,,
NA-164,Larkana,,Shah Muhammad Pasha Khuhro,,32179,Abdul Ghafoor,,28092,,,
NA-165,Larkana,,Sardar Ahmad Sultan Chandio,,,,,,,,
NA-166,Larkana,,Mir Nadir Ali Khan Magsi,,40557,Haji Muhammad Amin,,726,,,
NA-167,Hyderabad,,Shahabuddin Shah Hussaini,,19988,Manzoor Ahmad Memon,,10875,,,
NA-168,Hyderabad,,Wasi Mazhar Nadvi,,23118,Hidayat Ullah,,20884,,,
NA-169,Hyderabad,,Nawab Muhammad Yamin Khan,,39168,Mian Muhammad Shoukat,,20075,,,
NA-170,Hyderabad,,Mir Inayat Ali Talpur,,50219,Abdul Majeed Nizamani,,1525,,,
NA-171,Hyderabad,,Qazi Abdul Majeed Abid,,34455,Alhaj Mir Ali Ahmad Talpur,,21260,,,
NA-172,Badin,,Haji Abdullah Halepoto,,27318,Ali Akbar Nizamani,,25677,,,
NA-173,Badin,,Bashir Ahmad Halepoto,,25305,Ghulam Ali Khan,,16477,,,
NA-174,Tharparkar,,Maj Gen (R) Muhammad Bashir Khan,,48983,Syed Qurban Ali Shah,,43109,,,
NA-175,Tharparkar,,Khair Muhammad Bhurghari,,51731,Muhammad Shafi,,16116,,,
NA-176,Tharparkar,,Arbab Amir Hassan,,52526,Ghulam Muhammad,,36893,,,
NA-177,Dadu,,Peer Bakhsh Khaskheli,,33232,Pir Zaman Shah,,32164,,,
NA-178,Dadu,,Haji Khair Muhammad Panhwar,,34153,Rais Alhaj Muhammad Bakhsh Khan,,29938,,,
NA-179,Dadu,,Abdul Hameed Khan Jatoi,,43974,Pir Syed Abdul Ghaffar Shah,,29201,,,
NA-180,Sanghar,,Muhammad Khan Junejo,,,,,,,,
NA-181,Sanghar,,Atta Muhammad Marri,,46859,Abdul Sattar Ghouri,,31246,,,
NA-182,Thatta,,Haji Muhammad Usman Khan Jalbani,,29866,Syed Qadir Dino Shah Sherazi,,29691,,,
NA-183,Thatta,,Ahmad Khan Memon,,33248,Mamon Khan Malkani,,26436,,,
NA-184,Karachi,,Mir Nawaz Khan Marwat,,10820,Fida ur Rehman Darkhasti,,9846,,,
NA-185,Karachi,,Shah Baleegh Uddin,,38202,Mahmood Azam Farouqi,,22006,,,
NA-186,Karachi,,Muzaffar Ahmad Hashmi,,20647,Syed Saadat Ali Qadri,,18015,,,
NA-187,Karachi,,Muhammad Usman Ramz,,23961,Syed Saeed Hassan,,19944,,,
NA-188,Karachi,,Muhammad Afaque Khan,,16679,Syed Akbar Ali Pirzada,,8079,,,
NA-189,Karachi VI,,Ghulam Muhammad Chishti,,30507,Abdul Sattar,,16995,,,
NA-190,Karachi,,Shah Turab-ul-Haq Qadri,,43138,Muhammad Hussain,,29648,,,
NA-191,Karachi,,Sheikh Abdul Khaliq Allah Wala,,30956,Mian Muhammad Akhtar,,14612,,,
NA-192,Karachi,,Haji Muhammad Hanif Tayyab,,21127,Syed Mehmood Ahmad Madni,,17132,,,
NA-193,Karachi,,Kanwar Qutbuddin Khan,,24248,Syed Munawar Hussain,,20726,,,
NA-194,Karachi,,Muhammad Usman Khan Noori,,17392,Muhammad Shafi Malik,,12424,,,
NA-195,Karachi,,Zain Noorani,,25134,Saleem Ullah,,17516,,,
NA-196,Karachi,,Allama Abdul Mustafa Al Azhari,,22828,Syed Zakir Ali,,13185,,,
NA-197,Quetta Chagai,,Haji Sardar Fateh Muhammad Muhammad   Hassani,,25933,Saeed Ahmad Hashmi,,14153,,,
NA-198,Pishin,,Muhammad Qasim Khan,,15311,Ali Ahmad Khan,,14491,,,
NA-199,Loralai,,Mir Haji Tareen,,20555,Muhammad Tahir Khan Luni,,20024,,,
NA-200,Zhob,,Sardar Wazir Ahmad Jogezai,,23585,Sardar Qutabuddin,,9161,,,
NA-201,Kachhi I,,Sardar Taj Muhammad Rind,,34876,Syed Amir Shah,,16942,,,
NA-202,Sibbi Kohlu Dera Bugti,,Mir Ahmed Nawaz Bugti,,49869,Malik Dad Muhammad S/O Haji Malik   Muhammad Aslam,,378,,,
NA-203,Naseerabad,,Mir Zafarullah Khan Jamali,,,,,,,,
NA-204,Kalat Kharan,,Prince Mohiuddin Baloch,,31313,Mir Muhammad Fazal,,4701,,,
NA-205,Khuzdar,,Mir Muhammad Arif Jan Muhammad Hassani,,,,,,,,
NA-206,Lasbla Gwadur,,Shahzada Jam Muhammad Yousif,,37033,Muhammad Saleh,,1123,,,
NA-207,Turbat Panjgur,,Maulana Abdul Haque Baloch,,16169,Mir Nasir Ali Dushti,,9073,,,
