na,candidate_name,party,votes,rank
NA-1,Haji Mohammad Unis Elahi,,26815,1
NA-1,Syed Zafar Ali Shah,,22524,2
NA-1,Muhammad Khurshid,,5779,3
NA-1,Majar (R) Syed Sultan Hussain Shah,,479,4
NA-2,Muhammad Saleem Khan,,38189,1
NA-2,Colonel (R) Arbab Niaz Muhammad Khan,,23473,2
NA-3,Hameed Khan,,13165,1
NA-3,Muhammad Yousaf Khan Mohmand,,11029,2
NA-3,Sardar Muhammad Khan Durrani,,9741,3
NA-3,Abdul Hamid Khan,,9537,4
NA-3,Haji Noor Muhammad Khan,,8391,5
NA-3,Muhammad Yaqoob Khan,,7624,6
NA-3,Azmatullah,,3463,7
NA-3,Hidayat-ur-Rehman,,441,8
NA-3,Mughal Khan,,403,9
NA-4,Moulana Abdul Haq,,45709,1
NA-4,Majar (R) Muhammad Aslam Khan,,10336,2
NA-4,Syed Athar Ali Shah,,9888,3
NA-5,Muhammad Aslam,,,1
NA-6,Nawabzada Abdul Ghafoor Khan Hooti,,18112,1
NA-6,Haji Noor Muhamamd Khan,,6556,2
NA-6,Ikramullah Shahid,,6288,3
NA-6,Sultan Muhammad Mohmand,,4949,4
NA-6,Wasaf Shah alias Bagi,,3694,5
NA-6,Tariq Mehmood,,2948,6
NA-7,Molana Gauhar Rahman,,14063,1
NA-7,Doctor Haji Misal Khan,,10630,2
NA-7,Abdul Malik,,7953,3
NA-7,Abdul Ghani Khattak,,7468,4
NA-7,Shakirullah Khan,,6319,5
NA-7,Muhammad Yaqoob Khan,,2882,6
NA-7,Shafiq Alam Khan,,716,7
NA-8,Fazal Daad Khan,,12162,1
NA-8,Muhammad Sher Khan,,7992,2
NA-8,Dost Muhammad Khan,,7727,3
NA-8,Habib-ur-Rahman,,6659,4
NA-8,Syed Sadiq Shah,,5358,5
NA-8,Colonel (R) Muhammad Akram Khan,,3679,6
NA-8,Pervaiz Khan,,2309,7
NA-8,Muhammad Yaseen Khan,,258,8
NA-9,Yaqoob Khan Jadoon,,8353,1
NA-9,Sherin Khan,,7462,2
NA-9,Zarnosha,,6723,3
NA-9,Fazal Rehman,,5916,4
NA-9,Yaqoob Khan,,5783,5
NA-9,Syed Mir Badshah Bukhari,,5669,6
NA-9,Safarish Khan,,3901,7
NA-9,Muhammad Khurshid,,3231,8
NA-9,Muhammad Younas,,1239,9
NA-10,Haji Nadir Shah,,20120,1
NA-10,Muhammad Ilyas,,8986,2
NA-10,Molvi Muhammad Saleem,,7878,3
NA-10,Syed Saadullah Shah,,5358,4
NA-10,Haji Zarwar Khan,,4272,5
NA-10,Fazal Muhammad,,1509,6
NA-10,Dilawar Khan,,587,7
NA-10,Alif Rehman,,355,8
NA-11,Muhammad Aslam Khan Khattak,,29065,1
NA-11,Moulana Shaheed Ahmad,,21587,2
NA-11,Rasool Khan Khattak,,5527,3
NA-11,Minhajuddin,,5485,4
NA-12,Amanullah Khan Jadoon,,39770,1
NA-12,Sahabzada Muhammad Azhar,,32179,2
NA-12,Abdul Ghafoor,,5752,3
NA-12,Jamal Khan,,4022,4
NA-12,Ziauddin,,1812,5
NA-12,Moulana Wali ur Rehman,,1299,6
NA-13,Javed Iqbal Abbasi,,31750,1
NA-13,Sardar Gull Khitab Khan,,28008,2
NA-13,Muhammad Aslam Khan,,24149,3
NA-13,Sardar Fazal e Raziq Khan,,7750,4
NA-14,Gohar Ayub Khan,,48828,1
NA-14,Raja Sikandar Zaman Khan,,44371,2
