na,constituency_name,districts
NA-133,Sahiwal,Sahiwal
NA-134,Sahiwal,Sahiwal
NA-135,Sahiwal,Sahiwal
NA-136,Sahiwal,Sahiwal
NA-137,Okara,Okara
NA-138,Okara,Okara
NA-139,Okara,Okara
NA-140,Bahawalpur,Bahawalpur
NA-141,Bahawalpur II,Bahawalpur
NA-142,Bahawalpur,Bahawalpur
NA-143,Bahawalpur Bahawalnagar,Bahawalpur;Bahawalnagar
NA-144,Bahawalnagar,Bahawalnagar
NA-145,Bahawalnagar,Bahawalnagar
NA-146,Bahawalnagar,Bahawalnagar
NA-147,Rahim Yar Khan,Rahim Yar Khan
NA-148,Rahim Yar Khan,Rahim Yar Khan
NA-149,Rahim Yar Khan,Rahim Yar Khan
NA-150,Rahim Yar Khan,Rahim Yar Khan
NA-151,Sukkur,Sukkur
NA-152,Sukkur,Sukkur
NA-153,Sukkur,Sukkur
NA-154,Shikarpur,Shikarpur
NA-155,Shikarpur,Shikarpur
NA-156,Jacobabad,Jacobabad
NA-157,Jacobabad,Jacobabad
NA-158,Nawabshah,Shaheed Benazirabad
NA-159,Nawabshah,Shaheed Benazirabad
NA-160,Nawabshah,Shaheed Benazirabad
NA-161,Nawabshah,Shaheed Benazirabad
NA-162,Khairpur,Khairpur
NA-163,Khairpur,Khairpur
NA-164,Larkana,Larkana
NA-165,Larkana,Larkana
NA-166,Larkana,Larkana
NA-167,Hyderabad,Hyderabad
NA-168,Hyderabad,Hyderabad
NA-169,Hyderabad,Hyderabad
NA-170,Hyderabad,Hyderabad
NA-171,Hyderabad,Hyderabad
NA-172,Badin,Badin
NA-173,Badin,Badin
NA-174,Tharparkar,Tharparkar
NA-175,Tharparkar,Tharparkar
NA-176,Tharparkar,Tharparkar
NA-177,Dadu,Dadu
NA-178,Dadu,Dadu
NA-179,Dadu,Dadu
NA-180,Sanghar,Sanghar
NA-181,Sanghar,Sanghar
NA-182,Thatta,Thatta
NA-183,Thatta,Thatta
NA-184,Karachi,Karachi
NA-185,Karachi,Karachi
NA-186,Karachi,Karachi
NA-187,Karachi,Karachi
NA-188,Karachi,Karachi
NA-189,Karachi VI,Karachi
NA-190,Karachi,Karachi
NA-191,Karachi,Karachi
NA-192,Karachi,Karachi
NA-193,Karachi,Karachi
NA-194,Karachi,Karachi
NA-195,Karachi,Karachi
NA-196,Karachi,Karachi
NA-197,Quetta Chagai,Quetta
NA-198,Pishin,Pishin
NA-199,Loralai,Loralai
NA-200,Zhob,Zhob
NA-201,Kachhi I,Kachhi
NA-202,Sibbi Kohlu Dera Bugti,Dera Bugti;Sibi;Kohlu
NA-203,Naseerabad,Nasirabad
NA-204,Kalat Kharan,Kalat;Kharan
NA-205,Khuzdar,Khuzdar
NA-206,Lasbla Gwadur,Lasbela;Gwadar
NA-207,Turbat Panjgur,Kech;Panjgur
