na,candidate_name,party,votes,rank
NA-48,Raja Khuram Shahzad Nawaz,Independent,69701,1
NA-48,Syed Muhammad Ali Bukhari,Independent,59865,2
NA-48,Mustafa Nawaz Khokhar,Independent,18573,3
NA-48,Azhar Mahmood,TLP,13201,4
NA-48,Malik Abdul Aziz,JIP,8478,5
NA-48,Khaqan Waheed Khawaja,PAQ,3209,6
NA-48,Choudhary Asad Parvaiz,PPP,2994,7
NA-48,Syed Hassan Zaffar,Independent,997,8
NA-48,Saeed Ahmed Awan,JUI-F,802,9
NA-48,Muhammad Shaoib Shaheen,Independent,800,10
NA-48,Syed Muhammad Mustafain Kazmi,Independent,476,11
NA-48,Rabia Iqbal,Independent,382,12
NA-48,Sardar Muhammad Tazeem Khan,Independent,235,13
NA-48,Sohail Ahmad,Independent,231,14
NA-48,Choudhary Asif Irshad,Independent,226,15
NA-48,Raja Muhammad Farooq,Independent,143,16
NA-48,Osama,Independent,127,17
NA-48,Muhammad Zameer Khan,Independent,126,18
NA-48,Muhammad Haneef Mughal,PTS,126,19
NA-48,Waqas Ahmad,PRP,110,20
NA-48,Malik Ikhlaq Ahmad Awan,Independent,106,21
NA-48,Tazain Azka Hamid Choudhry,Independent,101,22
NA-48,Shahid Iqbal,PFP,78,23
NA-48,Muhammad Rafiq,PTE,75,24
NA-48,Chaudhary Ilyas Mehrbaan,Independent,73,25
NA-48,Zarar Ahmad,Independent,62,26
NA-48,Shameem Aftab,Independent,53,27
NA-48,Mazhar Abbas,Independent,51,28
NA-48,Muhammad Jahagir Ali Khan,Independent,47,29
NA-48,Malik Fakhar Ali,Independent,45,30
NA-48,Nighat Firdoos,PMML,45,31
NA-48,Gul Zali Khan,Independent,32,32
NA-48,Mirza Aasim Baig,Independent,31,33
NA-48,Farrukh Bashir,TTK,28,34
NA-48,Muhammad Humayoun Nazir,Independent,19,35
NA-48,Naghma Taskeen Khalid,Independent,16,36
