na,candidate_name,party,votes,rank
NA-205,Syed Abrar Ali Shah,PPP,126056,1
NA-205,Asghar Ali Shah,PML-N,55001,2
NA-205,Gul Hassan,Independent,26055,3
NA-205,Bhaly Rakhio Lakho,Independent,2762,4
NA-205,Naseer Ahmed,TLP,2706,5
NA-205,Asadullah Shah,Independent,2444,6
NA-205,Ghazala Hussain,Independent,1285,7
NA-205,Shakeel Ahmed Jalbani,Independent,576,8
NA-205,Ghulam Rasool,MQM,455,9
NA-205,Syed Zaheer Hussain Shah,Independent,189,10
NA-205,Naimatullah,PRP,174,11
NA-205,Shahid Ikram,Independent,138,12
NA-205,Nisar Ahmed Channa,Independent,119,13
NA-205,Shahriyar Ali,Independent,114,14
NA-205,Ali Ashraf Ujjan,Independent,104,15
NA-205,Muhammad Ubaid Sanwal Rajper,Independent,68,16
NA-205,Sayed Ghulam Murtaza Shah,Independent,63,17
NA-205,Abdul Sattar Rajper,Independent,43,18
