na,candidate_name,party,votes,rank
NA-80,Shahid Usman,PML-N,98206,1
NA-80,Lala Asad Ullah,Independent,94895,2
NA-80,Muhammad Rafiq,TLP,18126,3
NA-80,Bilal Qudrat Butt,JIP,6157,4
NA-80,Imran Rehmani,PPP,3560,5
NA-80,Saif ullah,PMML,2776,6
NA-80,Lala Shakeel ur Rehman,Independent,1885,7
NA-80,Muhammad Afzal Cheema,Independent,1771,8
NA-80,Aurangzeb,Independent,1636,9
NA-80,Chaudhry Liaquat Ali Toor,Independent,680,10
NA-80,Waqar Ahmad Cheema,Independent,524,11
NA-80,Harris Chohan,Independent,511,12
NA-80,Ishaq Akbar,Independent,485,13
NA-80,Muhammad Shehzad,PAT,439,14
NA-80,Rizwan Mustafa Sian,Independent,359,15
NA-80,Chaudhry Muhammad Tariq Gujjar,Independent,255,16
NA-80,Umar Ashraf,Independent,252,17
NA-80,Awais Shabbir,Independent,246,18
NA-80,Aqeel Anwar Dar,Independent,235,19
NA-80,Muhammad Naseem Sadiq,ALPP,222,20
NA-80,Ali Ashraf Mughal,Independent,152,21
NA-80,Muhammad Hasan,Independent,134,22
NA-80,Yahya Butt,Independent,111,23
NA-80,Muhammad Farooq,Independent,88,24
NA-80,Nasir Khan,Independent,84,25
NA-80,Zeeshan Ilyas,Independent,81,26
NA-80,Chaudhry Muhammad Saeed,Independent,76,27
NA-80,Muhammad Ikram,Independent,72,28
NA-80,Muhammad Asif,Independent,59,29
NA-80,Maher Muhammad Sarfraz,Independent,50,30
NA-80,Chaudhry Imranullah,Independent,45,31
NA-80,Ehsan Yousaf,Independent,31,32
NA-80,Muhammad Irfan,Independent,25,33
NA-80,Muhammad Faisal Ikram,Independent,23,34
