na,candidate_name,party,votes,rank
NA-210,Salahuddin Junejo,PPP,150196,1
NA-210,Saira Bano,GDA,108194,2
NA-210,Monochaher,Independent,7834,3
NA-210,Kamran Aziz Ghauri,JIP,3407,4
NA-210,Roshanuddin Junejo,Independent,1474,5
NA-210,Muhammad Khan Wassan,Independent,1142,6
NA-210,Abid,Independent,1007,7
NA-210,Raza Ullah,PMML,599,8
NA-210,Muhammad Zakir Sheikh,MQM,485,9
NA-210,Atta Muhammad,Independent,342,10
NA-210,Muhammad Ayoob,Independent,264,11
NA-210,Niaz Muhammad,Independent,127,12
