na,candidate_name,party,votes,rank
NA-16,Ali Asghar Khan,Independent,105300,1
NA-16,Murtaza Javed Abbasi,PML-N,86621,2
NA-16,Sardar Mehtab Ahmad Khan,Independent,23566,3
NA-16,Mehtab Ahmad,TLP,8812,4
NA-16,Sardar Ibrar Khan,Independent,5015,5
NA-16,Ahmad Naseer,JUI-F,3260,6
NA-16,Sajjad Ahmad Khan,PMML,2682,7
NA-16,Noor Ul Ain,PPP,2006,8
NA-16,Yasir Khan,Independent,1989,9
NA-16,Muhammad Rashid,Independent,984,10
NA-16,Muhammad Anwar Abbasi,PAT,546,11
NA-16,Sardar Shabir Ahmad (Retired),Independent,348,12
NA-16,Tahir Javed Abbasi,Independent,335,13
NA-16,Syeda Zainab Kazmi,MWM,193,14
NA-16,Shamriaz Khan,PTI-P,184,15
NA-16,Mubashir Lateef Abbasi (Retired),Independent,90,16
NA-16,Humayon Abdur Rehman Abbasi (Retired),Independent,17,17
