na,candidate_name,party,votes,rank
NA-145,Muhammad Khan Daha,PML-N,102952,1
NA-145,Abid Mehmood,Independent,56217,2
NA-145,Sardar Hamid Yar Hiraj,Independent,53132,3
NA-145,Muhammad Wakeel,TLP,14766,4
NA-145,Rana Abdul Rehman Khan,PPP,10583,5
NA-145,Abdul Hameed Alias Arfan,JIP,1299,6
NA-145,Choudhry Rafi Ahmed,Independent,668,7
NA-145,Shoaib Khan,Independent,599,8
NA-145,Imran Pervaiz,Independent,377,9
NA-145,Muhammad Tariq,Independent,374,10
NA-145,Humayun Khan,Independent,354,11
NA-145,Syed Muhammad Saqlain Shah,Independent,342,12
NA-145,Irfan Ahmad,Independent,84,13
