na,candidate_name,party,votes,rank
NA-225,Sadiq Ali Memon,PPP,140773,1
NA-225,Rasool Bux Jakhro,PML-N,28899,2
NA-225,Syed Jamil Ahmad Shah Bukhari,Independent,6324,3
NA-225,Imtiaz Ahmad,JIP,4100,4
NA-225,Meer Murtaza,Independent,3240,5
NA-225,Muhammad Junaid Niaz Siddiqui,MQM,764,6
NA-225,Ghulam Rasool Shoro,Independent,628,7
NA-225,Mumtaz Ali Memon,Independent,545,8
NA-225,Javed Hussain Shah Hussaini,Independent,507,9
NA-225,Shams ul Nisa Memon,Independent,468,10
NA-225,Noor Hassan,Independent,453,11
