na,candidate_name,party,votes,rank
NA-30,Shandana Gulzar Khan,Independent,78971,1
NA-30,Nasir Khan Musazai,JUI-F,20950,2
NA-30,Zain Umar Arbab,ANP,11855,3
NA-30,Kashif Azam Khalil,JIP,5355,4
NA-30,Misbah uddin,PPP,4555,5
NA-30,Raees Khan,PML-N,3508,6
NA-30,Pir Zahir Shah,TLP,3278,7
NA-30,Gul Wazir,Independent,1581,8
NA-30,Khalid Waqar,Independent,981,9
NA-30,Saeed Ahmad,Independent,436,10
NA-30,Arbab Mohammad Haleem,PTI-P,202,11
NA-30,Basmeeda,PMML,107,12
NA-30,Pirzada Nabi Amin,Independent,84,13
NA-30,Fahim Ahmad,Independent,76,14
NA-30,Ghulam Haider Khan,Independent,56,15
