na,candidate_name,party,votes,rank
NA-217,Zulfiqar Bachani,PPP,119530,1
NA-217,Raheela Magsi,GDA,73778,2
NA-217,Rozeena Bhutto,Independent,6006,3
NA-217,Muhammad Jahangeer,TLP,3219,4
NA-217,Muhammad Sikandar,PRP,1528,5
NA-217,Deedar Hussain,JIP,1416,6
NA-217,Muhammad Khalid Khanzada,Independent,807,7
NA-217,Rashid Hussain,Independent,778,8
NA-217,Zeeshan,KS,330,9
NA-217,Mir Muhammad Khokhar,Independent,262,10
NA-217,Abdul Sattar Bachani,Independent,241,11
NA-217,Muhammad Jaffar,Independent,194,12
NA-217,Javed Ali,Independent,173,13
NA-217,Immam ud Din Sheikh,Independent,153,14
NA-217,Ghulam Shabbir,Independent,108,15
