na,candidate_name,party,votes,rank
NA-99,Umar Farooq,Independent,120797,1
NA-99,Muhammad Qasim Farooq,PML-N,80401,2
NA-99,Imran Khan,TLP,15102,3
NA-99,Shah Nawaz,PMML,4137,4
NA-99,Adeeba Kousar,Independent,4112,5
NA-99,Sajjad Hussain Tayyab,Independent,3835,6
NA-99,Neha Javed,PPP,3794,7
NA-99,Rana Munawar Khan,Independent,3535,8
NA-99,Mubashar Shahzad,Independent,2970,9
NA-99,Asim Munir,JIP,2823,10
NA-99,Raza Nasrullah Khan,Independent,2525,11
NA-99,Mehar Atta Ur Rehman,Independent,1577,12
NA-99,Muhammad Muzammil Nazir,PNP,768,13
NA-99,Muhammad Fayyaz,Independent,678,14
NA-99,Ahsan Raza,Independent,477,15
NA-99,Shehzad Bashir Cheema,Independent,459,16
NA-99,Javed Niaz Manj,Independent,339,17
NA-99,Sana Ullah,Independent,281,18
NA-99,Rai Imtiaz Ahmad Asif,Independent,276,19
NA-99,Muhammad Naeem,Independent,212,20
NA-99,Muhammad Tariq Chaudhary,Independent,167,21
NA-99,Adil Rafi Cheema,Independent,118,22
NA-99,Muhammad Hanif Jatt,Independent,97,23
NA-99,Muhammad Furqan Mushtaq,Independent,91,24
NA-99,Muhammad Imran Waince,Independent,77,25
