na,candidate_name,party,votes,rank
NA-106,Muhammad Junaid Anwar Chaudhry,PML-N,137779,1
NA-106,Khalid Nawaz,Independent,137105,2
NA-106,Mohsin Raza,TLP,11313,3
NA-106,Kamran Mahmood,Independent,8291,4
NA-106,Muhammad Zubair,JIP,3970,5
NA-106,Muhammad Zulfiqar Ali,PPP,3360,6
NA-106,Khalid Mahmood,PMML,1777,7
NA-106,Saeed Akbar,Independent,1264,8
NA-106,Muhammad Tareej,Independent,456,9
NA-106,Chaudhry Muhammad Ashfaq,Independent,390,10
NA-106,Sobia Junaid,Independent,340,11
NA-106,Abdul Basit,Independent,196,12
NA-106,Tanveer Hussain,Independent,178,13
NA-106,Muhammad Ajmal Siddique,BPP,110,14
NA-106,Muhammad Irfan Ali Akram,Independent,109,15
NA-106,Muhammad Momin Junaid,Independent,79,16
