na,candidate_name,party,votes,rank
NA-86,Muhammad Miqdad Ali Khan,Independent,105882,1
NA-86,Syed Javed Hasnain Shah,PML-N,94487,2
NA-86,Muhammad Jamshed,PPP,20951,3
NA-86,Haji Allah Dad,TLP,17299,4
NA-86,Muhammad Shafqat Hayat Khan,Independent,5428,5
NA-86,Muhammad Arshad Iqbal,JIP,4893,6
NA-86,Muhammad Shafqat Abbas,Independent,3557,7
NA-86,Sahibzada Naeem Ud Din Sialvi,Independent,2152,8
NA-86,Iftikhar Ahmed,PMML,1982,9
NA-86,Ghulam Ali Asghar Khan Lehri,Independent,1229,10
NA-86,Shaukat Ali,Independent,907,11
NA-86,Noor Hayat,Independent,744,12
NA-86,Hassan Asghar,Independent,567,13
NA-86,Malik Muhammad Ali Khan Tiwana,PTI-N,515,14
NA-86,Ansar Abbas Baloch,Independent,242,15
