na,candidate_name,party,votes,rank
NA-165,Tariq Bashir Cheema,PML-Q,116571,1
NA-165,Ch. Saud Majeed,Independent,105758,2
NA-165,Basharat Ali,Independent,50349,3
NA-165,Muhammad Arshad,TLP,11391,4
NA-165,Muhammad Yousaf,Independent,5224,5
NA-165,Quttab Din,PPP,3162,6
NA-165,Muhammad Safdar Shahbaz,JUI-F,1618,7
NA-165,Hassan Raza,Independent,1237,8
NA-165,Wali Daad Cheema,Independent,913,9
NA-165,Muhammad Hakim Ali Randhawa,Independent,892,10
NA-165,Irfan Aslam Chaudhry,JIP,748,11
NA-165,Lala Akmal Lal Bheel,Independent,707,12
NA-165,Khalil Ahmad,Independent,564,13
NA-165,Farzana Rauf,Independent,220,14
NA-165,Iftkhar Ahmed,Independent,108,15
