na,candidate_name,party,votes,rank
NA-53,Raja Qamar Ul Islam,PML-N,72006,1
NA-53,Ajmal Sabir Raja,Independent,58480,2
NA-53,Chaudhry Nisar Ali Khan,Independent,44074,3
NA-53,Muhammad Taimoor Khalid,TLP,21522,4
NA-53,Muhammad Arif,JIP,2957,5
NA-53,Raja Ishtiaq Ahmed,Independent,2172,6
NA-53,Hamid Nawaz Raja,Independent,1987,7
NA-53,Muhammad Hasnain Haider,Independent,1444,8
NA-53,Muhammad Ashfaq,PMML,844,9
NA-53,Raja Abdul Waheed Qasim,Independent,828,10
NA-53,Mehran Ejaz Anwar Choudhry,Independent,339,11
NA-53,Sardar Muhammad Mansoor Khan,PAT,243,12
NA-53,Robeena Amjad Raja,Independent,185,13
NA-53,Sardar Hassan Mustafa Affandi,Independent,180,14
NA-53,Sohail Ahmad,Independent,139,15
NA-53,Zubair Muhammad Khan,Independent,121,16
NA-53,Muddasar Farid,Independent,116,17
NA-53,Naseer ul Hasnain Shah,Independent,104,18
NA-53,Choudhry Zaheer Mehmood,Independent,45,19
NA-53,Munzleen,MQM,40,20
NA-53,Muhammad Ali Khan Yousafzai,AJPP,15,21
