na,candidate_name,party,votes,rank
NA-26,Sajid Khan S/O Sultan,Independent,41502,1
NA-26,Maulana Muhammad Arif,JUI-F,19985,2
NA-26,Malik Bilal Rehman Mehmand,Independent,16371,3
NA-26,Nisar Ahmad,ANP,7798,4
NA-26,Haji Zar Khan,PML-N,1977,5
NA-26,Muhammad Saeed Khan,JIP,1905,6
NA-26,Abdul Waheed Khan Mohmand,PPP,1564,7
NA-26,Noor Islam Safi,Independent,1059,8
NA-26,Muhammad Israr,Independent,611,9
NA-26,Muhammad Arif S/O Abdul Razzaq,Independent,538,10
NA-26,Sajid Khan S/O Taj Gull,Independent,387,11
NA-26,Muhammad Siraj,PMML,192,12
