na,candidate_name,party,votes,rank
NA-227,Irfan Ali Leghari,PPP,104141,1
NA-227,Liaquat Ali Jatoi,GDA,94877,2
NA-227,Moundar Buriro,Independent,1952,3
NA-227,Hajan Khan Leghari,JUI-F,1821,4
NA-227,Zulfiqar Ali,MQM,686,5
NA-227,Mussarat,Independent,479,6
NA-227,Shabana Nawab,Independent,395,7
NA-227,Madad Ali Sodhar,Independent,307,8
NA-227,Nabi Bux Jatoi,Independent,246,9
NA-227,Imdad Ali,Independent,165,10
NA-227,Altaf Ahmad,Independent,96,11
NA-227,Qazi Abdul Waheed Mahesar,Independent,61,12
