na,candidate_name,party,votes,rank
NA-192,Mir Shabir Ali Bijarani,PPP,124979,1
NA-192,Muhammad Ibrahim Jatoi,JUI-F,76970,2
NA-192,Kamran Mahar,Independent,2128,3
NA-192,Ameer Ali Jatoi,Independent,1753,4
NA-192,Mir Haider Ali Bijarani,Independent,1661,5
NA-192,Naeem Ahmad Khan Jatoi,Independent,1144,6
NA-192,Muhammad Alam,Independent,1013,7
NA-192,Abdul Fateh Pathan,JIP,766,8
NA-192,Sandeep Kumar,Independent,701,9
NA-192,Muhammad Zaheer uddin Pechuho,TLP,541,10
NA-192,Iltaf Hussain Khoso,Independent,303,11
