na,candidate_name,party,votes,rank
NA-215,Mahesh Kumar Malani,PPP,135287,1
NA-215,Arbab Ghulam Rahim,GDA,114329,2
NA-215,Mehar Un Nisa Baloch,Independent,6735,3
NA-215,Muhammad Meean,Independent,3548,4
NA-215,Aziz Ullah,JUI-F,2231,5
NA-215,Arbab Zakaullah,Independent,2148,6
NA-215,Arbab Ibrahim Rahim,Independent,1225,7
NA-215,Lajpat Rai,Independent,1146,8
NA-215,Abdul Karim,Independent,884,9
NA-215,Mir Muhammad,JIP,753,10
NA-215,Hemoon,Independent,650,11
NA-215,Ghaman,Independent,273,12
NA-215,Arbab Zafarullah,Independent,201,13
NA-215,Manoj Kumar,Independent,199,14
NA-215,Vijay Kumar,Independent,148,15
NA-215,Arbab Anwar Jabbar,Independent,144,16
NA-215,Tirath Meghwar,Independent,104,17
NA-215,Gamoon,Independent,82,18
NA-215,Arbab Togachi Fawad Razzaq,Independent,67,19
NA-215,Kalaram,Independent,45,20
