na,candidate_name,party,votes,rank
NA-75,Anwar ul Haq Chaudhry,PML-N,100116,1
NA-75,Dr. Tahir Ali Javed,Independent,75626,2
NA-75,Daniyal Aziz,Independent,50984,3
NA-75,Muhammad Ahsan,TLP,34078,4
NA-75,Mian Muhammad Usman Rasheed,Independent,19045,5
NA-75,Muhammad Talha Anees,Independent,18339,6
NA-75,Irfan Hameed,Independent,3391,7
NA-75,Tariq Javed Manzoor,PPP,2530,8
NA-75,Abu Hafas Muhammad Ghayas Ud Din,Independent,2069,9
NA-75,Ghulam Ali Shakir Toor,PMML,1994,10
NA-75,Hafiz Muhammad Muzaffar,JUI-F,1402,11
NA-75,Muhammad Irfan Abid,Independent,1189,12
NA-75,Hafiz Muhammad Akmal Sadiq,Independent,752,13
NA-75,Akbar Khan Sherwani,Independent,622,14
NA-75,Imtiaz Ahmad,Independent,546,15
NA-75,Ahmad Shamas,Independent,543,16
NA-75,Rana Muhammad Younis,Independent,495,17
NA-75,Muhammad Asim Bashir,Independent,396,18
NA-75,Syed Abrar Hussain,PAT,388,19
NA-75,Zahid Tauqir Azhar,Independent,380,20
