na,candidate_name,party,votes,rank
NA-37,Hameed Hussain,MWM,58661,1
NA-37,Sajid Hussain Turi,PPP,54792,2
NA-37,Maulana Asmat Ullah,JUI-F,24892,3
NA-37,Malak Jamil Khan,Independent,10868,4
NA-37,Abdur Rasheed Khan,JIP,1245,5
NA-37,Syed Irshad Hussain,Independent,457,6
NA-37,Irfan Ullah,Independent,321,7
NA-37,Adil Muhammad,Independent,297,8
NA-37,Abid Rehman,Independent,266,9
NA-37,Saif Ullah Khan,Independent,248,10
NA-37,Mehdi Hussain,Independent,243,11
NA-37,Mir Afzal Khan Turi,Independent,140,12
NA-37,Anwar Shah,Independent,129,13
NA-37,Muhammad Ullah,PML-N,122,14
NA-37,Rasool Gul,Independent,94,15
NA-37,Atta Ullah Jan,Independent,84,16
NA-37,Waheed Ullah,Independent,80,17
NA-37,Karim Ullah,Independent,72,18
NA-37,Muhammad Luqman,Independent,69,19
NA-37,Inayat Hussain Turi,Independent,62,20
NA-37,Shahid Khan,Independent,60,21
NA-37,Habib Malik,Independent,58,22
NA-37,Eid Nazar,PRP,56,23
NA-37,Noor Muhammad,Independent,56,24
NA-37,Akhonzada Muhammad Akram Khan,Independent,49,25
NA-37,Muhammad Shoaib,Independent,45,26
NA-37,Malik Rasheed Ahmed Khan,Independent,37,27
NA-37,Abdul Qadir,Independent,28,28
NA-37,Wazir Jan,Independent,22,29
NA-37,Noor Alam,JUI-S,21,30
NA-37,Khiali Ur Rehman,Independent,20,31
NA-37,Shehzad Zaman Bangash,Independent,19,32
NA-37,Asad Zaman,Independent,14,33
NA-37,Mazhar Hussain,Independent,12,34
