na,candidate_name,party,votes,rank
NA-164,Mian Riaz Hussain Pirzada,PML-N,123377,1
NA-164,Malik Ejaz Ahmad Gaddan,Independent,117176,2
NA-164,Syed Irfan Ahmed Gardezi,PPP,12565,3
NA-164,Qari Ghulam Farid,TLP,9464,4
NA-164,Choudhary Aasim Ayaz,Independent,7315,5
NA-164,Iftikhar Ahmad Shaikh,JIP,1965,6
NA-164,Muhammad Amjad,PMML,1331,7
NA-164,Malik Muhammad Naeem,Independent,1117,8
NA-164,Sayed Ali Zain Bukhari,Independent,608,9
NA-164,Faryad Hussain,Independent,597,10
NA-164,Muhammad Afzal Dharala,Independent,315,11
NA-164,Rao Tariq Mahmood,Independent,266,12
NA-164,Syed Gulam Abbas Shah,Independent,253,13
