na,candidate_name,party,votes,rank
NA-193,Muhammad Shahryar Khan Mahar,PPP,138634,1
NA-193,Maulana Rashid Mehmood Soomro,JUI-F,59519,2
NA-193,Maqsood Ali Domki,MWM,4272,3
NA-193,Shah Waliullah Shah,Independent,3781,4
NA-193,Mahmood Alias Mahmood Ellahi Bakro,JIP,2599,5
NA-193,Israr Ahmad,TLP,2324,6
NA-193,Aftab Ahmed Soomro,Independent,2254,7
NA-193,Ghous Bux Khan Mehar,Independent,718,8
NA-193,Agha Fahad Khan,Independent,692,9
NA-193,Ahsan Ali,Independent,457,10
NA-193,Abdul Jaleel,MQM,380,11
NA-193,Babar Ahmad,Independent,291,12
NA-193,Masood Ahmed,Independent,277,13
NA-193,Agha Shafqatullah,PPP-SB,260,14
