na,candidate_name,party,votes,rank
NA-263,Haji Jamal Shah Kakar,PML-N,27175,1
NA-263,Sallar Khan Kakar,Independent,25372,2
NA-263,Mehmood Khan Achakzai,PKMAP,15304,3
NA-263,Rozi Khan Kakar,PPP,9076,4
NA-263,Nawabzada Haji Mir Lashkari Raisani,Independent,8562,5
NA-263,Nasrullah Khan Bareach,PNAP,7650,6
NA-263,Mirza Hussain Hazara,HDP,6395,7
NA-263,Mir Maqbool Ahmad Lehri,BNP,4416,8
NA-263,Arbab Liaqat Ali Hazara,MWM,3288,9
NA-263,Maulana Anwar Ul Haq Haqqani,Independent,2811,10
NA-263,Wali Muhammad Noorzai,Independent,2080,11
NA-263,Moulana Muhammad Ramzan Mengal,PRP,1320,12
NA-263,Mulana Abdul Qadir Looni,JUI-N,1042,13
NA-263,Muhammad Jawad,JWP,743,14
NA-263,Atta ur Rehman,JIP,609,15
NA-263,Rubina Irfan,BAP,551,16
NA-263,Wazeer Ahmad Noorani,TLP,537,17
NA-263,Abdul Razzaq,Independent,444,18
NA-263,Niaz Muhammad,NP,440,19
NA-263,Sardar Aurangzaib Rakhsani,Independent,405,20
NA-263,Naeem Kareem,Independent,381,21
NA-263,Shakeel Ahmed,PML-Q,319,22
NA-263,Habib ur Rehman,BNP-A,292,23
NA-263,Abdul Sadiq,RJUI,277,24
NA-263,Asghar Khan Achakzai,ANP,219,25
NA-263,Nawabzada Sharif Jogezai,Independent,211,26
NA-263,Nida Muhammad,Independent,181,27
NA-263,Naimat Ullah Khan,Independent,179,28
NA-263,Nasir Haidar Kasi,Independent,159,29
NA-263,Habib Ullah Khan,Independent,154,30
NA-263,Sardar Zulfiqar Ali,Independent,103,31
NA-263,Abdul Ghaffar Khan Kakar,Independent,98,32
NA-263,Abdul Wahid,JUI-S,89,33
NA-263,Umar Khan Achakzai,Independent,79,34
NA-263,Munawara Bibi Baloch,Independent,78,35
NA-263,Abdul Hadi,Independent,77,36
NA-263,Abdul Salam,Independent,67,37
NA-263,Iqbal Hassan Lehri,Independent,56,38
NA-263,Muhammad Rahim,Independent,41,39
NA-263,Abdul Mateen,Independent,39,40
NA-263,Syed Iqbal Shah,Independent,39,41
NA-263,Shah Faisal,Independent,15,42
