na,candidate_name,party,votes,rank
NA-148,Syed Yousuf Raza Gilani,PPP,68110,1
NA-148,Barrister Taimur Altaf Malik,Independent,67979,2
NA-148,Malik Ahmad Hussain Dehr,PML-N,58525,3
NA-148,Malik Azhar Ahmad Sandila,TLP,12550,4
NA-148,Asif Nazar,Independent,4459,5
NA-148,Muhammad Atif Imran,JIP,2465,6
NA-148,Rana Jang Sher Ali,Independent,2082,7
NA-148,Sajjad Ahmad,JUI-F,1218,8
NA-148,Syed Azhar Abbas Haider,Independent,511,9
NA-148,Saqib Mehmood Mahay,Independent,454,10
NA-148,Muhammad Fahad Saleem,Independent,310,11
NA-148,Aneela Iftikhar,PML-Q,260,12
NA-148,Qaiser Ali Haider Mahay,Independent,192,13
