na,candidate_name,party,votes,rank
NA-169,Makhdoomzada Syed Murtaza Mahmood,PPP,81187,1
NA-169,Syed Mubeen Ahmed,PML-N,73533,2
NA-169,Raja Muhammad Saleem,Independent,70823,3
NA-169,Rashid Rafiq,Independent,5676,4
NA-169,Muhammad Sohail Manzoor,TLP,5324,5
NA-169,Shameel Mirza,Independent,3543,6
NA-169,Robina Naz,Independent,3488,7
NA-169,Muhammad Asad Nawaz,Independent,3006,8
NA-169,Chaudhry Masood Ahmad,Independent,2670,9
NA-169,Mulazeem Hussain Awan,Independent,2659,10
NA-169,Asghar Ali Nasir,JUI-F,1337,11
NA-169,Muhammad Sami ul Qazi,JIP,1262,12
NA-169,Sardar Khurram Shahzad Khan Dahir,Independent,375,13
NA-169,Syed Baqir Hussain Shah,Independent,219,14
NA-169,Zulfiqar Ali Khan,Independent,152,15
