na,candidate_name,party,votes,rank
NA-11,Amir Muqam,PML-N,61204,1
NA-11,Said Fareen,Independent,55312,2
NA-11,Aurang Zeb Khan,ANP,10621,3
NA-11,Muhammad Parvez,Independent,7725,4
NA-11,Muhammad Alam Khan,PPP,5270,5
NA-11,Syed Ghaffar,JIP,3363,6
NA-11,Hamid Iqbal Khan,Independent,1728,7
NA-11,Jawad Ali,Independent,857,8
NA-11,Gulzar Khan,Independent,653,9
NA-11,Bahri Room,AWP,552,10
NA-11,Nawaz Mehmood,Independent,535,11
NA-11,Musharaf Shah,Independent,462,12
NA-11,Mian Nazir Rehman,PTI-P,230,13
NA-11,Safeer Khan,Independent,190,14
NA-11,Fawad Ahmad Khan,Independent,152,15
NA-11,Umar Zada,Independent,148,16
