na,candidate_name,party,votes,rank
NA-67,Aneeqa Mehdi Bhatti,Independent,211044,1
NA-67,Saira Afzal Tarar,PML-N,183947,2
NA-67,Syed Muhammad Ata ul Hasnain Ali,TLP,25722,3
NA-67,Muhammad Shoaib Bhatti,Independent,12205,4
NA-67,Syed Waseem ul Hassan Naqvi,PPP,4256,5
NA-67,Aneeqa Anwar Cheema,Independent,3813,6
NA-67,Rai Adil Hussain Kharal,PMML,1463,7
NA-67,Shoukat Ali,Independent,1092,8
NA-67,Liaqat Abbas,Independent,875,9
NA-67,Hassan Sher,Independent,711,10
NA-67,Imran Abbas Bhatti,Independent,528,11
NA-67,Syed Zaheer Ul Hassan Bukhari,Independent,506,12
NA-67,Faiz ul Hassan,JUP-IN,454,13
NA-67,Zulifqar Haidar,Independent,437,14
NA-67,Aslam Hayat,Independent,340,15
NA-67,Mazhar Hussain,MQM,235,16
NA-67,Asmat Ullah,PML-Z,228,17
NA-67,Zahra Jabeen,Independent,225,18
NA-67,Samia Kousar,Independent,223,19
NA-67,Rana Shafqat Javed,Independent,215,20
NA-67,Aoun Abbas,NP,176,21
NA-67,Akhtar Hussian,Independent,173,22
