na,candidate_name,party,votes,rank
NA-61,Chaudhary Farrukh Altaf,PML-N,88100,1
NA-61,Shaukat Iqbal Mirza,Independent,84636,2
NA-61,Imran Haidar,TLP,28238,3
NA-61,Syed Amir Hamza Peerzada,PPP,13294,4
NA-61,Mushtaq Ahmad,Independent,10294,5
NA-61,Raja Matloob Mehdi,Independent,4479,6
NA-61,Qasim Mehmood,JIP,2654,7
NA-61,Muhammad Haroon Rafiq,PMML,2014,8
NA-61,Raja Talib Mehdi Khan,Independent,1415,9
NA-61,Abrar Hussain,Independent,708,10
NA-61,Faisal Fareed,Independent,331,11
NA-61,Sikandar Hayat,Independent,220,12
NA-61,Ghulam Mustafa Awan,Independent,182,13
