na,candidate_name,party,votes,rank
NA-216,Makhdoom Jamil uz Zaman,PPP,124536,1
NA-216,Bashir Ahmad,PML-N,80439,2
NA-216,Nazish Bhatti,Independent,4045,3
NA-216,Khalid Ahmad Memon,Independent,2616,4
NA-216,Atta Ur Rahman Korejo,JIP,2142,5
NA-216,Behzad Ahmad,Independent,669,6
NA-216,Suohail Ahmed,Independent,459,7
NA-216,Muharram Khaskheli,Independent,431,8
NA-216,Amjad Hussain,Independent,373,9
NA-216,Imdad Ali,PRP,335,10
NA-216,Noor Muhammad Memon,Independent,180,11
NA-216,Syed Ali Murtaza Shah,Independent,89,12
