na,candidate_name,party,votes,rank
NA-36,Yousaf Khan,Independent,73347,1
NA-36,Mufti Ubaid Ullah,JUI-F,35178,2
NA-36,Hafiz Abdul Hadi,Independent,8849,3
NA-36,Malik Shaban Ali,Independent,6064,4
NA-36,Syad Ghazi Gulab Jamal,Independent,5288,5
NA-36,Malak Syed Noor Akbar,PPP,1318,6
NA-36,Abdullah,Independent,1166,7
NA-36,Ulfat Hussain,Independent,692,8
NA-36,Afrasiab,JIP,661,9
NA-36,Malak Mumtaz Khan,Independent,573,10
NA-36,Muhammad Ibrahim Khan,Independent,246,11
NA-36,Aurangzeb Khan,Independent,246,12
NA-36,Akhtar Munir Bangash,Independent,181,13
NA-36,Shaheed Khan,Independent,173,14
NA-36,Aziz Ahmad,Independent,152,15
NA-36,Sher Nawaz Orakzai,Independent,125,16
NA-36,Alhaj Muhammad Farid Mufakkar,PML-N,107,17
NA-36,Abid Wazir,BPP,80,18
NA-36,Misal Khan,Independent,76,19
