na,candidate_name,party,votes,rank
NA-72,Ali Zahid,PML-N,109507,1
NA-72,Choudhary Amjad Ali Bajwa,Independent,103640,2
NA-72,Shujaat Ali,TLP,44522,3
NA-72,Asif Ali Bajwa,Independent,7585,4
NA-72,Muhammad Akram,Independent,5978,5
NA-72,Iftikhar Afzal,Independent,4860,6
NA-72,Nabi Ahmad Virk,PMML,4723,7
NA-72,Nadeem Ahmad Awan,PPP,2420,8
NA-72,Ghazanfar Ali Bajwa,JIP,1778,9
NA-72,Saif Ali Khan,Independent,1102,10
NA-72,Munawar Ahmad Gill,Independent,680,11
NA-72,Ahsan Abbas,Independent,602,12
NA-72,Sohail Babar,PAT,598,13
NA-72,Irfan Salamat Ali Bajwa,Independent,588,14
NA-72,Muhammad Asif Bajwa,Independent,548,15
NA-72,Amir Khalid,Independent,269,16
NA-72,Hassan Abbas,Independent,240,17
NA-72,Ghulam Abbas,Independent,232,18
NA-72,Choudhary Khadim Hussain,Independent,154,19
NA-72,Haseeb Sattar,Independent,149,20
NA-72,Haidar Ali Gill,Independent,136,21
NA-72,Muhammad Khalid Dogar,Independent,89,22
NA-72,Mansoor Sarwar Khan,Independent,52,23
