na,candidate_name,party,votes,rank
NA-114,Rana Tanveer Hussain,PML-N,101111,1
NA-114,Arshad Mehmood Manda,Independent,82026,2
NA-114,Asif Mahmood,TLP,37329,3
NA-114,Sardar Ali,PPP,2294,4
NA-114,Muhammad Touseef,JIP,1122,5
NA-114,Muhammad Safdar Bhatti,Independent,1050,6
NA-114,Asim Nisar,PMML,795,7
NA-114,Hafiz Mahmood Ul Hassan,JUI-F,754,8
NA-114,Rana Afzaal Hussain,Independent,448,9
NA-114,Anser Ali,Independent,290,10
NA-114,Abid Hafeez,Independent,290,11
NA-114,Akhtar Hasan Chaudhry,Independent,260,12
NA-114,Shabana Asghar,Independent,204,13
NA-114,Muhammad Khalil Rana,PAT,159,14
NA-114,Rana Abbas Ali Khan,Independent,82,15
NA-114,Mian Jalil Ahmad Sharaqpuri,Independent,77,16
NA-114,Muhammad Ashfaq,Independent,76,17
NA-114,Ch. Muhammad Suleman,Independent,71,18
NA-114,Muhamamd Sikander Zulqarnain,Independent,60,19
NA-114,Syed Muhammad Ali Mehdi Bukhari,Independent,51,20
NA-114,Malik Javed Iqbal,Independent,51,21
